宝盛北里三居室，高楼层，电梯直达，满五年唯一,宝盛北里,清河,3室1厅 ,140.25, 南 北 , 精装 ,9, 2004年 , 板楼,89, 3个月以前发布,9600000.0,"68,450元/平",VR房源 房本满五年 
海淀清河电信宿舍 南北通透精装2层两居室 满五年唯一,清河电信宿舍,清河,2室1厅 ,53.99, 南 北 , 精装 ,6, 1986年 , 板楼,167, 4个月以前发布,3500000.0,"64,827元/平",近地铁 VR看装修 房本满五年 
公司大区总监推荐电梯房，全明格局精装修，首付压力小,北京机械学院家属楼,清河,2室1厅 ,74.5, 东 , 精装 ,9, 1999年 , 板塔结合,44, 11个月以前发布,4750000.0,"63,759元/平",近地铁 VR房源 房本满两年 
世华龙樾一期西区 满五年唯一 中楼层 南北通透,世华龙樾一期西区,清河,2室1厅 ,75.9, 南 北 , 简装 ,18, 2014年 , 板塔结合,89, 4个月以前发布,6800000.0,"89,592元/平",VR看装修 房本满五年 随时看房 
清河 福美苑 正规南向两居室 带电梯 满五唯一,福美苑,清河,2室1厅 ,83.11, 南 , 简装 ,16, 2012年 , 板楼,127, 5个月以前发布,4980000.0,"59,921元/平",近地铁 VR看装修 房本满五年 随时看房 
宝盛里观澳园，房主诚意出售，稳定签约，看房方便,观澳园,清河,1室1厅 ,44.86, 南 , 精装 ,5, 2005年 , 板楼,56, 8个月以前发布,3590000.0,"80,027元/平",VR看装修 房本满五年 随时看房 
满五唯一 您期待的温馨小户型 有钥匙 无遮挡,毛纺厂南小区,清河,1室0厅 ,35.81, 东 西 , 简装 ,6, 1993年 , 板楼,133, 4个月以前发布,2630000.0,"73,444元/平",近地铁 VR看装修 房本满五年 随时看房 
中央财经大学家属楼 南北通透 中间位置 精装三居室,中央财经大学家属楼,清河,3室1厅 ,82.96, 南 北 , 精装 ,6, 1998年 , 板楼,60, 7个月以前发布,6500000.0,"78,352元/平",近地铁 VR房源 房本满五年 
宝盛里观澳园，满五唯一，南北通透，看房随时，靠谱卖,观澳园,清河,1室1厅 ,75.86, 南 北 , 简装 ,5, 2005年 , 板楼,24, 5个月以前发布,5350000.0,"70,525元/平",VR看装修 房本满五年 随时看房 
美和园全阳面两居，已转商，好楼层，有电梯，采光好。,金隅美和园,清河,2室1厅 ,81.98, 南 , 简装 ,9, 2008年 , 板楼,34, 6个月以前发布,6750000.0,"82,338元/平",VR看装修 房本满两年 
怡清园两居，电梯直达，南向落地阳台，视野开阔，诚售,怡清园,清河,2室1厅 ,117.54, 南 , 简装 ,15, 2003年 , 板塔结合,42, 5个月以前发布,6880000.0,"58,534元/平",近地铁 VR房源 房本满五年 随时看房 
海清园清河小营桥旁精装修带电梯一居室,海清园,清河,1室1厅 ,58.4, 东 北 , 精装 ,18, 2001年 , 塔楼,10, 4个月以前发布,3830000.0,"65,583元/平",近地铁 VR看装修 房本满五年 
金隅美和园 南北通透 中间位置电梯两居室 临近公园,金隅美和园,清河,2室1厅 ,85.22, 南 北 , 精装 ,9, 2008年 , 板楼,36, 5个月以前发布,6650000.0,"78,034元/平",近地铁 VR看装修 房本满五年 
毛纺厂南小区，满五年，经典户型,毛纺厂南小区,清河,2室1厅 ,54.2, 北 南 , 简装 ,5, 1980年 , 板楼,19, 9个月以前发布,3600000.0,"66,421元/平",近地铁 VR房源 房本满五年 
清河嘉园东向正规一居室，带三个阳台，采光好,强佑清河新城府学上院,清河,1室1厅 ,60.39, 东 , 精装 ,27, 2009年 , 板塔结合,13, 6个月以前发布,4690000.0,"77,662元/平",近地铁 VR看装修 房本满五年 
南向两居室，采光好，看房方便，业主诚心出售,世华龙樾一期西区,清河,2室1厅 ,76.08, 南 西 , 毛坯 ,11, 2018年 , 板楼,317, 6个月以前发布,6300000.0,"82,808元/平",近地铁 VR看装修 随时看房 
强佑府学上院全南向一居室户型，采光好，视野无遮挡,强佑清河新城府学上院,清河,1室1厅 ,38.75, 南 , 精装 ,14, 2021年 , 板塔结合,118, 一年前发布,3190000.0,"82,323元/平",近地铁 VR看装修 随时看房 
强佑清河新城府学上院 2018年房龄 小区品质高 视野好,强佑清河新城府学上院,清河,1室0厅 ,25.28, 西 , 精装 ,18, 2020年 , 板塔结合,18, 5个月以前发布,2850000.0,"112,738元/平",近地铁 VR看装修 随时看房 
清景园，南北向三居室，满五唯一商品房，随时可看,清景园,清河,3室1厅 ,131.2, 南 北 , 简装 ,22, 2007年 , 板塔结合,26, 2个月以前发布,10600000.0,"80,793元/平",VR看装修 随时看房 
莱圳家园大二居97，满五年唯一，南北通透采光视野好，,莱圳家园,清河,3室1厅 ,97.86, 南 北 , 简装 ,19, 2009年 , 板塔结合,121, 3个月以前发布,8300000.0,"84,816元/平",近地铁 VR看装修 房本满五年 随时看房 
毛纺厂南小区低楼层西南向两居 满五唯一,毛纺厂南小区,清河,2室1厅 ,51.5, 南 西 , 简装 ,6, 1980年 , 板塔结合,19,11,3400000.0,"66,020元/平",近地铁 VR房源 房本满五年 
宝盛里南北通透两居室，诚意出售,宝盛里,清河,2室1厅 ,69.27, 南 北 , 简装 ,6, 2001年 , 板楼,58, 1个月以前发布,4700000.0,"67,851元/平",VR房源 随时看房 
永泰园双地铁 半人车分流 有地下车库 商品房小区,永泰园新地标,清河,2室1厅 ,93.73, 西南 , 简装 ,31, 2002年 , 塔楼,45, 2个月以前发布,6050000.0,"64,548元/平",近地铁 VR看装修 房本满五年 随时看房 
橡树湾一期 东南两居 全明格局 婚房精装修,橡树湾一期,清河,2室1厅 ,88.81, 东南 , 精装 ,22, 2007年 , 板塔结合,17,8,10800000.0,"121,608元/平",近地铁 VR看装修 房本满两年 
永泰园新上全南向一居室，中间楼层，靠谱出售,永泰园,清河,1室1厅 ,44.54, 南 , 简装 ,7, 1999年 , 板楼,17,16,3450000.0,"77,459元/平",近地铁 VR看装修 房本满五年 随时看房 
精装修 南北两居 满五唯一 可看房 可签约,毛纺厂南小区,清河,2室1厅 ,55.3, 南 北 , 精装 ,6, 1986年 , 板楼,22,19,3400000.0,"61,483元/平",近地铁 VR房源 房本满五年 随时看房 
清缘东里 带电梯 满五唯一商品房,清缘东里,清河,2室1厅 ,66.57, 西 北 , 精装 ,13, 2003年 , 塔楼,7,4,4490000.0,"67,448元/平",近地铁 VR房源 房本满五年 随时看房 
小营东路5号院南北通透的两居中间层看房方便,小营东路5号院,清河,2室1厅 ,54.1, 南 北 , 简装 ,6, 1996年 , 板楼,11,8,3800000.0,"70,241元/平",近地铁 VR看装修 随时看房 
金隅美和园东区 全南向正规两居,金隅美和园东区,清河,2室2厅 ,81.45, 南 , 精装 ,6, 2009年 , 板楼,6,19,5600000.0,"68,754元/平",近地铁 VR看装修 房本满五年 
清河品质社区，优质南北三居，双卧朝南，小区中间位置,621小区,清河,3室1厅 ,76.6, 南 北 , 简装 ,6, 1988年 , 板楼,16,18,5570000.0,"72,716元/平",近地铁 VR房源 房本满五年 
橡树湾二期 正规三居室 精装修 领包入住 满五年唯一,橡树湾二期,清河,3室1厅 ,96.04, 东 西 , 精装 ,12, 2009年 , 板塔结合,5,4,11600000.0,"120,784元/平",近地铁 VR看装修 房本满五年 
橡树湾二期花园洋房下跃 低密度带下沉式庭院 满五唯一,橡树湾二期,清河,4室3厅 ,281.7, 南 北 , 精装 ,9, 2008年 , 板楼,5, 10个月以前发布,31000000.0,"110,047元/平",近地铁 VR房源 房本满五年 
宝盛西里 南北向四居，视野好，采光也很好,宝盛里,清河,4室1厅 ,114.5, 南 北 , 精装 ,6, 2001年 , 板楼,19, 一年前发布,7100000.0,"62,009元/平",VR房源 房本满五年 
小营东路7号院 3室1厅 东 西,小营东路7号院,清河,3室1厅 ,109.52, 东 西 , 简装 ,6, 1999年 , 板楼,14, 10个月以前发布,7980000.0,"72,864元/平",VR看装修 房本满五年 
海淀产权 带电梯 西向大两居 满五唯一,水木天成,清河,3室1厅 ,106.57, 西 , 精装 ,26, 2006年 , 板楼,30, 5个月以前发布,7480000.0,"70,189元/平",VR房源 房本满五年 
此房满五唯一 精装修 高楼层 视野好  正规三居室,君安家园东区,清河,3室1厅 ,144.35, 西南 , 精装 ,19, 2005年 , 塔楼,50, 一年前发布,9980000.0,"69,138元/平",近地铁 VR看装修 房本满五年 
宝盛里 低楼层  南北通透三居室 满五年,宝盛里,清河,3室2厅 ,117.82, 南 北 , 精装 ,6, 2000年 , 板楼,30, 10个月以前发布,8800000.0,"74,691元/平",VR看装修 房本满五年 
宝盛北里，两室两厅两卫，中间层，位置好,宝盛北里,清河,2室2厅 ,115.86, 南 北 , 精装 ,6, 2004年 , 板楼,19, 4个月以前发布,8300000.0,"71,639元/平",VR房源 房本满五年 
宝盛北里正规两居，商品房满五年，无抵押，诚意出售,宝盛北里,清河,2室2厅 ,104.85, 南 北 , 精装 ,6, 2004年 , 板楼,15, 6个月以前发布,6850000.0,"65,332元/平",VR房源 房本满五年 
f橡府   视野开阔  诚心出售 采光充足,橡树湾五期,清河,4室2厅 ,239.19, 南 北 , 其他 ,22, 2018年 , 板楼,20, 8个月以前发布,35000000.0,"146,328元/平",VR看装修 房本满两年 
浩思家园 下跃户型 带下沉花园 满五唯一 精装修,专家国际花园,清河,3室3厅 ,193.0, 南 北 , 精装 ,5, 2008年 , 板楼,42, 一年前发布,28000000.0,"145,078元/平",近地铁 VR房源 房本满五年 
海淀清河永泰西里 正规3居 满五唯一 双卧朝南 户型好,永泰西里,清河,3室1厅 ,91.28, 东 北 南 , 简装 ,6, 1998年 , 板楼,10, 6个月以前发布,7450000.0,"81,618元/平",近地铁 VR看装修 房本满五年 
双地铁 电科院 满五年的商品房，正规三居室南北通透，,小营东路6号院,清河,3室1厅 ,114.31, 南 北 , 精装 ,6, 2000年 , 板楼,22, 2个月以前发布,7290000.0,"63,774元/平",近地铁 VR看装修 房本满五年 
怡清园，满五年唯一 上下两层 看房方便,怡清园,清河,3室2厅 ,149.09, 南 北 , 其他 ,6, 2003年 , 板楼,9, 9个月以前发布,8900000.0,"59,696元/平",近地铁 VR房源 房本满五年 
宝盛里 满五年唯一 南北通透 两居室 中间楼层 无遮挡,宝盛里,清河,2室2厅 ,87.43, 南 北 , 简装 ,6, 2001年 , 板楼,44, 10个月以前发布,6480000.0,"74,117元/平",VR看装修 房本满五年 
海淀 清河 观景园 板楼电梯次顶层 视野开阔,观景园,清河,3室2厅 ,141.8, 南 北 , 简装 ,6, 2011年 , 板楼,39, 一年前发布,13200000.0,"93,089元/平",VR看装修 房本满两年 
世华龙樾四期经典三居室，小区新环境好,世华龙樾四期,清河,3室2厅 ,136.7, 南 北 , 毛坯 ,6, 2018年 , 板楼,32, 一年前发布,22900000.0,"167,521元/平",近地铁 VR看装修 房本满两年 随时看房 
小营东路7号院 正规三居室 满五年一手业主  看房随时,小营东路7号院,清河,3室1厅 ,103.38, 东 南 北 , 简装 ,6, 1999年 , 板楼,57, 5个月以前发布,8230000.0,"79,610元/平",VR看装修 房本满五年 随时看房 
橡树湾四期，全明格局，精装三居，给换房周期,橡树湾四期,清河,3室2厅 ,149.69, 南 北 , 精装 ,25, 2014年 , 板塔结合,91, 11个月以前发布,19000000.0,"126,929元/平",VR房源 房本满五年 随时看房 
橡树湾四期 南北通透 不临街 精装修 诚意售,橡树湾四期,清河,3室2厅 ,162.56, 南 北 , 精装 ,25, 2014年 , 板塔结合,19, 5个月以前发布,20100000.0,"123,647元/平",VR房源 房本满五年 随时看房 
新上永泰园东南向三室两卫观景房，靠谱靠谱靠谱,永泰园新地标,清河,3室2厅 ,135.59, 东南 , 简装 ,31, 2002年 , 塔楼,133, 7个月以前发布,7600000.0,"56,052元/平",VR房源 房本满两年 随时看房 
精装修，艺术气息的设计，一梯一户的入户,世华龙樾二期,清河,4室1厅 ,107.7, 南 北 , 其他 ,9, 2015年 , 板楼,35, 8个月以前发布,16500000.0,"153,204元/平",近地铁 VR房源 房本满五年 随时看房 
力度家园方正一室一厅不临街无遮挡,力度家园,清河,1室1厅 ,59.98, 北 , 精装 ,21, 2004年 , 板塔结合,2, 4个月以前发布,4990000.0,"83,195元/平",近地铁 VR看装修 房本满两年 随时看房 
f橡府南北精装三居诚意出售，看房方便,橡树湾五期,清河,3室2厅 ,146.61, 北 南 , 精装 ,12, 2018年 , 板楼,10, 3个月以前发布,22000000.0,"150,058元/平",近地铁 VR房源 
海清园正规一居室 近地铁 户型方正 诚意出售 价格可谈,海清园,清河,1室1厅 ,58.4, 东北 , 简装 ,18, 2001年 , 塔楼,9, 3个月以前发布,4000000.0,"68,494元/平",近地铁 VR看装修 房本满两年 
清河新城府学上院  满五唯一 中间位置,强佑清河新城府学上院,清河,2室1厅 ,62.79, 北 , 精装 ,22, 2009年 , 板塔结合,31, 3个月以前发布,4660000.0,"74,216元/平",近地铁 VR看装修 房本满五年 随时看房 
加气厂宿舍 满五唯一 南北通透 诚意出售,加气混凝土厂宿舍,清河,2室1厅 ,51.6, 南 北 , 简装 ,5, 1984年 , 板楼,3, 3个月以前发布,4390000.0,"85,078元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一 楼层好 精装修 南侧无遮挡 随时签约,观景园,清河,2室1厅 ,91.44, 南 北 , 精装 ,6, 2011年 , 板楼,5, 3个月以前发布,7680000.0,"83,990元/平",VR看装修 房本满五年 
北京机械学院家属楼南北向正规两居室,北京机械学院家属楼,清河,2室1厅 ,60.3, 南 北 , 简装 ,4, 1981年 , 板楼,68, 一年前发布,4250000.0,"70,481元/平",近地铁 VR看装修 房本满两年 随时看房 
永泰园小区，此房满五唯一，户型方正；,永泰园新地标,清河,2室2厅 ,110.02, 西 , 精装 ,31, 2002年 , 塔楼,22, 10个月以前发布,6850000.0,"62,262元/平",近地铁 VR看装修 房本满五年 随时看房 
毛纺厂南小区 2室1厅 西南,毛纺厂南小区,清河,2室1厅 ,67.1, 西南 , 精装 ,6, 1997年 , 板楼,9, 3个月以前发布,4800000.0,"71,536元/平",VR看装修 房本满五年 
海清园 2室1厅 西南,海清园,清河,2室1厅 ,88.29, 西南 , 简装 ,18, 2001年 , 塔楼,38, 3个月以前发布,5600000.0,"63,428元/平",近地铁 VR看装修 房本满五年 随时看房 
砂轮厂宿舍，精装复式两居，双卫，南北通透,砂轮厂宿舍,清河,3室2厅 ,96.62, 南 北 , 精装 ,7, 1998年 , 板楼,5, 3个月以前发布,6290000.0,"65,101元/平",VR房源 房本满五年 
621小区 满五唯一  正规两居室 全南向采光充足,621小区,清河,2室1厅 ,53.6, 南 , 简装 ,5, 1984年 , 板楼,6, 4个月以前发布,5070000.0,"94,590元/平",近地铁 VR房源 房本满五年 
强佑清河新城府学上院 2021年房龄 临河观景 视野开阔,强佑清河新城府学上院,清河,2室1厅 ,87.67, 西南 , 精装 ,29, 2021年 , 板塔结合,30, 一年前发布,8850000.0,"100,947元/平",VR看装修 
清缘里中区，正规两居室，看房方便，业主诚心出售。,清缘里中区,清河,2室1厅 ,66.6, 南 北 , 简装 ,10, 1998年 , 板楼,125, 10个月以前发布,4980000.0,"74,775元/平",VR看装修 
强佑清河新城府学上院 2018年次新房 品质小区 格局好,强佑清河新城府学上院,清河,1室1厅 ,38.01, 西北 , 精装 ,18, 2020年 , 板塔结合,14, 5个月以前发布,3800000.0,"99,974元/平",近地铁 VR看装修 随时看房 
永泰园南北通透三居室 双卧朝南 采光好 配套齐全,永泰园,清河,3室1厅 ,69.3, 南 北 , 简装 ,5, 1993年 , 板楼,92, 5个月以前发布,5150000.0,"74,315元/平",近地铁 VR看装修 房本满五年 随时看房 
清河新城府学上院 满五唯一 楼层适中,强佑清河新城府学上院,清河,1室1厅 ,65.1, 西南 , 精装 ,27, 2009年 , 板塔结合,6, 2个月以前发布,4990000.0,"76,652元/平",VR看装修 
观澳园，全南向带电梯，中高层，满五唯一，看房方便,观澳园,清河,2室1厅 ,66.87, 南 , 其他 ,9, 2006年 , 板楼,32, 1个月以前发布,5390000.0,"80,605元/平",VR看装修 房本满五年 
橡树湾三期 正规南北通透三居室 满五年唯一 精装修,橡树湾三期,清河,3室2厅 ,160.35, 南 北 , 精装 ,20, 2011年 , 板塔结合,12, 1个月以前发布,19390000.0,"120,923元/平",近地铁 VR房源 房本满五年 
清缘里中区经典两居室，欢迎来访,清缘里中区,清河,2室1厅 ,82.6, 东南 , 精装 ,13, 2003年 , 板楼,21,11,4930000.0,"59,686元/平",近地铁 VR房源 房本满两年 随时看房 
橡树湾一期 优质正规两居室 不临街 小区中间位置 诚售,橡树湾一期,清河,2室1厅 ,71.19, 西 , 精装 ,11, 2007年 , 板塔结合,15, 1个月以前发布,8500000.0,"119,399元/平",近地铁 VR房源 房本满两年 
621小区 2室1厅 南 北,621小区,清河,2室1厅 ,56.9, 南 北 , 简装 ,6, 1980年 , 板楼,6, 1个月以前发布,4390000.0,"77,153元/平",VR看装修 房本满五年 
莱圳家园 带阳台南向两居室 满五唯一,莱圳家园,清河,2室1厅 ,77.88, 南 , 简装 ,18, 2009年 , 板楼,19, 一年前发布,7450000.0,"95,660元/平",VR看装修 房本满五年 
商品的社区，2022年精装修的三居室，,永泰园新地标,清河,3室2厅 ,141.38, 东南 , 精装 ,31, 2002年 , 塔楼,27,19,9280000.0,"65,639元/平",VR看装修 房本满两年 随时看房 
莱圳家园对花园高层一居室 房子很优质业主诚售能谈,莱圳家园,清河,1室1厅 ,68.71, 东 , 精装 ,13, 2006年 , 板楼,22, 6个月以前发布,6500000.0,"94,601元/平",近地铁 VR看装修 房本满两年 随时看房 
永泰东里，精装南向一居室，中间层，看房有钥匙,永泰东里,清河,1室1厅 ,47.15, 南 , 其他 ,6, 1999年 , 板楼,19, 10个月以前发布,4600000.0,"97,561元/平",近地铁 VR看装修 房本满五年 
小营东路7号院 南北通透三居 双卧朝南采光,小营东路7号院,清河,3室1厅 ,103.38, 东 南 北 , 简装 ,6, 1999年 , 板楼,636, 一年前发布,7950000.0,"76,901元/平",VR看装修 房本满五年 
橡树湾二期 不临街 主力两居户型 精装诚意 出售,橡树湾二期,清河,2室1厅 ,94.48, 东南 , 精装 ,9, 2008年 , 板塔结合,56, 一年前发布,13500000.0,"142,888元/平",近地铁 VR看装修 房本满两年 
总监力推  南北通透两居室，靠谱出售,观景园,清河,2室1厅 ,90.49, 南 北 , 简装 ,6, 2008年 , 板楼,29, 一年前发布,7200000.0,"79,567元/平",VR房源 房本满五年 
毛纺厂南小区 低楼层两居室 满五唯一 业主诚意出售,毛纺厂南小区,清河,2室1厅 ,56.3, 南 北 , 精装 ,5, 1979年 , 板楼,11, 9个月以前发布,4100000.0,"72,825元/平",近地铁 VR房源 房本满五年 
观林园 三居室 带电梯 低密度 有公园,观林园,清河,3室2厅 ,162.42, 南 北 , 精装 ,6, 2011年 , 板楼,41, 一年前发布,13700000.0,"84,350元/平",VR房源 房本满五年 
永泰东里 南北通透 三居室 满五唯一 诚心出售,永泰东里,清河,3室1厅 ,95.93, 南 北 , 精装 ,6, 1996年 , 板楼,41, 一年前发布,7550000.0,"78,704元/平",近地铁 VR看装修 房本满两年 
世华龙樾一期东区，南北两居，人车分流，一梯两户,世华龙樾一期东区,清河,2室1厅 ,87.3, 南 北 , 其他 ,11, 2014年 , 板楼,40, 5个月以前发布,11500000.0,"131,730元/平",近地铁 VR房源 房本满五年 
福美苑南北通透二居室 钥匙房 业主随时可以签约,福美苑,清河,2室2厅 ,90.45, 南 北 , 简装 ,16, 2012年 , 板楼,43, 4个月以前发布,5850000.0,"64,677元/平",近地铁 VR看装修 房本满五年 
毛纺厂南小区97年 满五唯一低楼层两居室 诚意出售,毛纺厂南小区,清河,2室1厅 ,70.8, 南 北 , 精装 ,6, 1997年 , 板楼,47, 5个月以前发布,4870000.0,"68,786元/平",VR看装修 房本满五年 
观景园精装两居，视野宽阔，采光充足，配套设施齐全,观景园,清河,2室1厅 ,85.88, 东南 , 精装 ,6, 2008年 , 板楼,78, 6个月以前发布,6190000.0,"72,078元/平",VR看装修 房本满五年 
莱圳家园 三期南北通透两居室 不临街视野好,莱圳家园,清河,2室2厅 ,87.65, 南 北 , 精装 ,13, 2012年 , 板楼,42, 7个月以前发布,8100000.0,"92,414元/平",近地铁 VR看装修 房本满五年 
强佑清河新城府学上院 南向开间 全明格局 次新房,强佑清河新城府学上院,清河,1室0厅 ,42.35, 西南 , 精装 ,18, 2020年 , 板塔结合,34, 3个月以前发布,3650000.0,"86,187元/平",近地铁 VR看装修 
强佑清河新城府学上院 次新房 精装修 南北通透 位置好,强佑清河新城府学上院,清河,3室1厅 ,122.13, 南 北 , 精装 ,24, 2020年 , 板塔结合,33, 4个月以前发布,9800000.0,"80,243元/平",近地铁 VR看装修 
永泰东里，南北通透两居室，业主自住，无抵押,永泰东里,清河,2室1厅 ,60.36, 南 北 , 其他 ,6, 1996年 , 板楼,134, 一年前发布,4650000.0,"77,038元/平",近地铁 VR看装修 房本满两年 
金隅美和园 优质南北向正规一居室,金隅美和园,清河,1室1厅 ,49.85, 南 北 , 精装 ,9, 2008年 , 板楼,39, 一年前发布,4000000.0,"80,241元/平",近地铁 VR看装修 房本满五年 
621小区 满五年 随时可看 可签 两居室,621小区,清河,2室1厅 ,54.1, 南 北 , 精装 ,6, 1993年 , 板楼,7, 4个月以前发布,4200000.0,"77,635元/平",近地铁 VR看装修 房本满五年 
强佑清河新城府学上院 2018年房龄 经典格局 视野开阔,强佑清河新城府学上院,清河,2室1厅 ,93.16, 南 , 精装 ,24, 2020年 , 板塔结合,73, 4个月以前发布,8500000.0,"91,241元/平",近地铁 VR看装修 随时看房 
宝盛里 3室1厅 南 北,宝盛里,清河,3室1厅 ,113.2, 南 北 , 精装 ,5, 2000年 , 板楼,4, 3个月以前发布,7800000.0,"68,905元/平",VR看装修 房本满五年 
美和园南向大一居（拓展两居+书房）实用面积大采光好,金隅美和园,清河,1室1厅 ,62.82, 南 , 简装 ,9, 2008年 , 板楼,18, 3个月以前发布,5350000.0,"85,164元/平",VR房源 房本满五年 随时看房 
清河文苑正规四居室 满五唯一 04年的商品房 视野开阔,清河文苑,清河,4室1厅 ,147.64, 东南 , 简装 ,22, 2004年 , 塔楼,34, 一年前发布,11500000.0,"77,893元/平",近地铁 VR看装修 房本满五年 随时看房 
宝盛里观林园 东西通透 大两居,观林园,清河,2室2厅 ,119.95, 东 西 , 简装 ,6, 2011年 , 板楼,21, 10个月以前发布,9100000.0,"75,865元/平",VR看装修 房本满五年 随时看房 
小营东路7号院首付260万就够，正规3居室，空置有钥匙,小营东路7号院,清河,3室1厅 ,106.19, 南 西 , 简装 ,6, 1999年 , 板楼,23, 10个月以前发布,7480000.0,"70,440元/平",VR看装修 房本满五年 随时看房 
新上主推 观澳园 全明格局 满五年唯一 中间楼层,观澳园,清河,2室1厅 ,103.44, 东 南 北 , 简装 ,7, 2005年 , 板楼,77, 11个月以前发布,8260000.0,"79,854元/平",VR房源 房本满两年 随时看房 
雪梨澳乡E区双拼别墅地上两层毛坯房花园300平,雪梨澳乡E区,清河,3室2厅 ,243.61, 南 北 , 毛坯 ,2, 2007年 , 暂无数据,101, 一年前发布,20000000.0,"82,099元/平",近地铁 VR看装修 房本满五年 随时看房 
信息学院家属楼 明厅 明卫 三居室 一手业主,信息学院家属楼,清河,3室1厅 ,89.0, 南 北 , 简装 ,6, 1986年 , 板楼,15, 4个月以前发布,6600000.0,"74,158元/平",近地铁 VR看装修 房本满五年 随时看房 
