宝盛北里三居室，高楼层，电梯直达，满五年唯一,宝盛北里,清河,3室1厅 ,140.25, 南 北 , 精装 ,9, 2004年 , 板楼,89, 3个月以前发布,9600000.0,"68,450元/平",VR房源 房本满五年 
总监力荐清河永泰西里南北向明厅两居室采光好格局方正,永泰西里,清河,2室1厅 ,73.21, 南 北 , 其他 ,6, 1998年 , 板楼,10, 4个月以前发布,5500000.0,"75,127元/平",近地铁 VR看装修 房本满五年 
橡树湾四期 精装 通透户型 满五唯一随时看,橡树湾四期,清河,2室1厅 ,106.41, 东 西 , 精装 ,18, 2013年 , 板塔结合,2, 7个月以前发布,14570000.0,"136,924元/平",VR看装修 房本满五年 
清河永泰西里 东西通透 满五唯一 低楼层 近地铁 诚售,永泰西里,清河,2室1厅 ,57.79, 东 西 , 其他 ,6, 1998年 , 板楼,2, 11个月以前发布,4690000.0,"81,156元/平",近地铁 VR看装修 房本满五年 
永泰园 大一居  有电梯 靠谱签约,永泰园新地标,清河,2室1厅 ,86.77, 北 , 简装 ,17, 2002年 , 塔楼,40, 一年前发布,5690000.0,"65,576元/平",VR看装修 房本满两年 
【店长推荐】急售！永泰西里  南北通透 三居室 双地铁,永泰西里,清河,3室1厅 ,69.76, 南 北 , 精装 ,6, 1998年 , 板楼,11, 5个月以前发布,5450000.0,"78,125元/平",近地铁 VR看装修 房本满两年 
美和园西区，明厨明卫，满五唯一，中间楼层，采光充足,金隅美和园,清河,3室1厅 ,84.47, 东 南 西 , 精装 ,9, 2008年 , 板楼,87, 11个月以前发布,6990000.0,"82,752元/平",近地铁 VR看装修 房本满五年 
宝盛里中高层，满五年唯一，南北朝向，精装修两居室,宝盛里,清河,2室1厅 ,70.19, 南 北 , 精装 ,6, 2001年 , 板楼,39, 6个月以前发布,5050000.0,"71,948元/平",VR看装修 房本满五年 
清缘里中区 南北通透双卫三居室 业主诚心出售,清缘里中区,清河,3室2厅 ,111.47, 南 北 , 精装 ,10, 1998年 , 板楼,17, 3个月以前发布,7480000.0,"67,104元/平",VR看装修 房本满五年 
清缘东里，临河观景，前后花园，三居两卫,清缘东里,清河,3室2厅 ,111.97, 南 北 , 精装 ,13, 2005年 , 板楼,40, 6个月以前发布,9950000.0,"88,864元/平",VR看装修 房本满五年 
清缘里 双通透两居 不临街  安静不吵 采光充足 诚心卖,清缘里中区,清河,2室1厅 ,69.7, 东 西 , 简装 ,7, 1999年 , 板楼,37, 8个月以前发布,4550000.0,"65,280元/平",近地铁 VR看装修 房本满五年 
橡树湾二期 高层 东西通透两居室 满五唯一 只有契税,橡树湾二期,清河,2室1厅 ,80.78, 东 西 , 精装 ,11, 2009年 , 板塔结合,23, 8个月以前发布,9900000.0,"122,556元/平",近地铁 VR看装修 房本满五年 
小区中间位置 中间楼层 精装修 满五年唯一3居室采光好,世华龙樾一期西区,清河,3室1厅 ,87.07, 南 北 , 精装 ,17, 2014年 , 板塔结合,42, 4个月以前发布,8750000.0,"100,494元/平",近地铁 VR看装修 房本满五年 
邮局家属楼 2室1厅 南 北,邮局家属楼,清河,2室1厅 ,67.7, 南 北 , 简装 ,6, 1986年 , 板楼,7, 5个月以前发布,4330000.0,"63,959元/平",近地铁 VR看装修 房本满五年 
毛纺厂西小区 全明格局 通透两居 视野好 自住保持好,毛纺厂西小区,清河,2室1厅 ,59.7, 东 西 , 简装 ,6, 1988年 , 板楼,21, 5个月以前发布,4090000.0,"68,510元/平",近地铁 VR看装修 房本满五年 
海淀清河宝盛北里南向精装不把边不临街,宝盛北里,清河,1室1厅 ,62.52, 南 , 精装 ,6, 2004年 , 板楼,12, 4个月以前发布,4500000.0,"71,977元/平",VR房源 房本满五年 
毛西三居，南北向，小区中间位置，中间楼层，看房方便,毛纺厂西小区,清河,3室1厅 ,67.2, 南 北 , 精装 ,6, 1986年 , 板楼,5, 6个月以前发布,7000000.0,"104,167元/平",VR看装修 房本满两年 
毛西三居室，2层，去年精装，可拎包入住。不临街安静,毛纺厂西小区,清河,3室1厅 ,66.5, 南 北 , 精装 ,6, 1986年 , 板楼,1, 5个月以前发布,6700000.0,"100,752元/平",VR房源 房本满两年 
永泰园满五唯一，30万精装修，产权清晰，价格能谈,永泰园,清河,2室1厅 ,61.4, 南 , 精装 ,6, 1996年 , 板楼,59, 6个月以前发布,4250000.0,"69,219元/平",近地铁 VR看装修 房本满五年 
新上 f橡府急售  三居室 位置好 高层视野 前后花园,橡树湾五期,清河,3室2厅 ,146.12, 南 北 , 其他 ,12, 2018年 , 板楼,26, 5个月以前发布,20500000.0,"140,296元/平",近地铁 VR房源 房本满五年 
前屯路57号院满五年，南北通透两居,前屯路57号院,清河,2室1厅 ,57.2, 南 北 , 简装 ,6, 1982年 , 板楼,7, 5个月以前发布,3870000.0,"67,658元/平",近地铁 VR看装修 房本满五年 
永泰园精装通透满五唯一两居室，看房方便，随时签约,永泰园,清河,2室1厅 ,62.69, 东 西 , 精装 ,6, 1998年 , 板楼,23, 5个月以前发布,4190000.0,"66,837元/平",近地铁 VR看装修 房本满五年 
橡树湾二期 双通透三居两卫 中间楼层 业主诚意出售,橡树湾二期,清河,3室1厅 ,143.8, 南 北 , 精装 ,15, 2009年 , 板塔结合,39, 7个月以前发布,18800000.0,"130,738元/平",近地铁 VR房源 房本满五年 
清河正规一居室，带电梯，采暖好，2005年小区，精装修,高巢,清河,1室1厅 ,41.01, 北 , 精装 ,15, 2005年 , 板塔结合,5, 5个月以前发布,3050000.0,"74,373元/平",近地铁 VR看装修 房本满五年 
清缘里中区 南北通透双卫三居室 业主诚心出售,清缘里中区,清河,3室2厅 ,111.47, 南 北 , 精装 ,10, 1998年 , 板楼,17, 3个月以前发布,7480000.0,"67,104元/平",VR看装修 房本满五年 
清缘东里，临河观景，前后花园，三居两卫,清缘东里,清河,3室2厅 ,111.97, 南 北 , 精装 ,13, 2005年 , 板楼,40, 6个月以前发布,9950000.0,"88,864元/平",VR看装修 房本满五年 
小区中间位置 中间楼层 精装修 满五年唯一3居室采光好,世华龙樾一期西区,清河,3室1厅 ,87.07, 南 北 , 精装 ,17, 2014年 , 板塔结合,42, 4个月以前发布,8750000.0,"100,494元/平",近地铁 VR看装修 房本满五年 
毛纺厂西小区 全明格局 通透两居 视野好 自住保持好,毛纺厂西小区,清河,2室1厅 ,59.7, 东 西 , 简装 ,6, 1988年 , 板楼,21, 5个月以前发布,4090000.0,"68,510元/平",近地铁 VR看装修 房本满五年 
清河正规一居室，带电梯，采暖好，2005年小区，精装修,高巢,清河,1室1厅 ,41.01, 北 , 精装 ,15, 2005年 , 板塔结合,5, 5个月以前发布,3050000.0,"74,373元/平",近地铁 VR看装修 房本满五年 
清河，永泰园，明厅两居室，电梯直达，双地铁,永泰园新地标,清河,2室1厅 ,93.73, 西南 , 精装 ,31, 2002年 , 塔楼,27, 5个月以前发布,6400000.0,"68,282元/平",近地铁 VR看装修 房本满五年 
清缘里 满两年可多贷款 首付压力少 电梯直达进出方便,清缘里中区,清河,2室1厅 ,83.85, 东南 , 简装 ,13, 1999年 , 板塔结合,31, 4个月以前发布,5100000.0,"60,823元/平",近地铁 VR房源 房本满两年 
清景园精装两居室  南向带电梯 商品房小区中间位置,清景园,清河,2室1厅 ,98.24, 南 , 精装 ,13, 2007年 , 板塔结合,47, 10个月以前发布,7360000.0,"74,919元/平",近地铁 VR看装修 房本满两年 
美和园 双卧客厅朝南，采光好，沐浴阳光，户型方正,金隅美和园,清河,2室1厅 ,82.28, 南 , 精装 ,9, 2009年 , 板楼,20, 5个月以前发布,7050000.0,"85,684元/平",近地铁 VR看装修 房本满两年 
金隅美和园 2室1厅 南,金隅美和园,清河,2室1厅 ,63.97, 南 , 简装 ,9, 2008年 , 板楼,24, 6个月以前发布,5590000.0,"87,385元/平",近地铁 VR房源 房本满五年 
加气混凝土厂宿舍 满五年唯一 无遮挡 采光好,加气混凝土厂宿舍,清河,2室1厅 ,60.7, 南 , 精装 ,6, 1989年 , 板楼,6, 5个月以前发布,4280000.0,"70,511元/平",近地铁 VR看装修 房本满五年 
观澳园 精装两居 临河观景 视野开阔 中间层,观澳园,清河,2室1厅 ,98.04, 南 北 , 精装 ,5, 2005年 , 板楼,21, 一年前发布,7450000.0,"75,990元/平",VR看装修 房本满五年 
芳清园电梯大一居室，07年新小区,芳清园,清河,1室1厅 ,71.38, 西 , 精装 ,9, 2007年 , 板楼,18, 9个月以前发布,4300000.0,"60,241元/平",VR看装修 房本满两年 
海淀清河永泰东里南北二居三层首套可贷款295万,永泰东里,清河,2室1厅 ,57.51, 南 北 , 简装 ,6, 1996年 , 板楼,23, 一年前发布,4750000.0,"82,595元/平",近地铁 VR看装修 房本满两年 
加气混凝土厂宿舍精装修两居，南向采光好，位置安静。,加气混凝土厂宿舍,清河,2室1厅 ,60.7, 南 , 精装 ,6, 1989年 , 板楼,14, 7个月以前发布,3900000.0,"64,251元/平",近地铁 VR看装修 房本满五年 
世华龙樾一期西区 南向 一居室 电梯房,世华龙樾一期西区,清河,1室1厅 ,52.33, 南 , 简装 ,18, 2014年 , 板楼,21, 一年前发布,5380000.0,"102,810元/平",VR看装修 房本满两年 
信息学院家属楼 正规两居室 高楼层 精装修,信息学院家属楼,清河,2室1厅 ,56.6, 南 北 , 精装 ,5, 1978年 , 板楼,17, 9个月以前发布,4050000.0,"71,555元/平",近地铁 VR看装修 房本满五年 
小营东路6号院 2室1厅 南 北,小营东路6号院,清河,2室1厅 ,56.3, 南 北 , 简装 ,5, 1987年 , 板楼,7, 6个月以前发布,4050000.0,"71,937元/平",近地铁 VR看装修 房本满五年 
橡树湾二期 南向一居室 中间楼层 无遮挡采光好,橡树湾二期,清河,1室0厅 ,53.31, 南 , 简装 ,11, 2009年 , 板塔结合,3, 9个月以前发布,6900000.0,"129,432元/平",近地铁 VR看装修 房本满两年 
满五年唯一，全南精装修一居室，有钥匙随时看，电梯房,福美苑,清河,1室1厅 ,52.07, 南 , 其他 ,21, 2012年 , 板楼,41, 一年前发布,4300000.0,"82,582元/平",近地铁 VR看装修 房本满五年 
宝盛里 东西向一居室  低楼层  小区中间位置,宝盛里,清河,1室1厅 ,57.24, 东 西 , 简装 ,5, 2000年 , 板楼,3, 6个月以前发布,4000000.0,"69,882元/平",VR看装修 房本满五年 
宝盛里 满五唯一 南向一居 靠谱签约,宝盛里,清河,1室1厅 ,53.09, 南 , 简装 ,6, 2001年 , 板楼,6, 10个月以前发布,3990000.0,"75,156元/平",VR房源 房本满五年 
美和园 南向正规一居室 无遮挡 采光好 看房方便,金隅美和园,清河,1室1厅 ,64.54, 南 , 简装 ,9, 2008年 , 板楼,14, 11个月以前发布,5300000.0,"82,120元/平",近地铁 VR房源 房本满五年 
金隅美和园 满五年 带电梯 诚心出售 看房方便,金隅美和园,清河,2室1厅 ,82.01, 南 , 简装 ,9, 2009年 , 板楼,20, 5个月以前发布,7090000.0,"86,453元/平",近地铁 VR房源 房本满五年 
强佑清河新城府学上院纯南向小两居,强佑清河新城府学上院,清河,2室1厅 ,61.94, 南 , 其他 ,15, 2015年 , 板塔结合,152, 10个月以前发布,4680000.0,"75,557元/平",VR房源 房本满两年 
燕清源南向一居采光好无遮挡带电梯,燕清源,清河,1室0厅 ,42.08, 南 , 简装 ,28, 2005年 , 板塔结合,10, 5个月以前发布,3900000.0,"92,681元/平",VR看装修 房本满五年 
清缘东里 1室0厅 西 北,清缘东里,清河,1室0厅 ,33.87, 西 北 , 其他 ,13, 2005年 , 板楼,10, 5个月以前发布,3200000.0,"94,479元/平",VR看装修 房本满两年 
海清园，正规一室一厅，户型方正，带电梯,海清园,清河,1室1厅 ,58.4, 西 北 , 其他 ,18, 2001年 , 塔楼,3, 6个月以前发布,4250000.0,"72,774元/平",近地铁 VR看装修 房本满两年 
满五唯一 南向两居 随时签约 可以看房,毛纺厂南小区,清河,2室0厅 ,50.9, 南 , 简装 ,5, 1975年 , 板楼,79, 11个月以前发布,3900000.0,"76,621元/平",近地铁 VR房源 房本满五年 
正规三居，板楼，采光好，视野好，集中供暖，有公园。,金隅美和园东区,清河,3室1厅 ,87.93, 南 北 , 简装 ,6, 2010年 , 板楼,450, 一年前发布,6600000.0,"75,060元/平",近地铁 VR看装修 房本满五年 
永泰园南区等同于满5年唯一，精装2居室，南北通透,永泰园,清河,2室1厅 ,49.4, 南 北 , 精装 ,6, 1997年 , 板楼,178, 一年前发布,4220000.0,"85,426元/平",近地铁 VR看装修 房本满五年 
清河五彩城正规两居室中间楼层诚心出售,毛纺厂南小区,清河,2室1厅 ,50.3, 南 , 精装 ,5, 1979年 , 板楼,186, 一年前发布,3700000.0,"73,559元/平",近地铁 VR看装修 房本满五年 
永泰西里中间层婚房装修南向一居室,永泰西里,清河,1室1厅 ,46.21, 南 , 精装 ,6, 1998年 , 板楼,10, 6个月以前发布,3890000.0,"84,181元/平",近地铁 VR看装修 房本满两年 
高巢 电梯直达 高楼层 视野开阔,高巢,清河,1室0厅 ,52.72, 西南 , 精装 ,15, 2005年 , 板塔结合,1, 4个月以前发布,4300000.0,"81,563元/平",近地铁 VR看装修 房本满五年 
观景园一居室，满五年唯一，精装修，视野开阔,观景园,清河,1室1厅 ,64.9, 东 , 精装 ,6, 2011年 , 板楼,107, 一年前发布,5500000.0,"84,746元/平",VR看装修 房本满五年 
永泰东里精装修三居室诚心出售价格可谈,永泰东里,清河,3室1厅 ,79.8, 南 北 , 其他 ,6, 1996年 , 板楼,13, 4个月以前发布,5500000.0,"68,923元/平",近地铁 VR看装修 房本满两年 
合景映月台 南北通透精致三居室 直观花园,合景映月台,清河,3室2厅 ,97.37, 南 北 , 精装 ,8, 2016年 , 板楼,65, 一年前发布,13560000.0,"139,263元/平",VR看装修 房本满五年 
宝盛西里 满五年唯一  全明格局  看房方便 随时签约,宝盛里,清河,3室1厅 ,91.9, 东 南 北 , 简装 ,6, 1998年 , 板楼,42, 5个月以前发布,6980000.0,"75,953元/平",VR看装修 房本满五年 
南北通透精装修中间层明厅两居室带储藏间,永泰东里,清河,2室1厅 ,80.15, 南 北 , 精装 ,6, 1995年 , 板楼,35, 一年前发布,6360000.0,"79,352元/平",近地铁 VR看装修 房本满五年 
清河，清缘东里，正规两居室，满五年，诚售。,清缘东里,清河,2室1厅 ,80.38, 西南 , 精装 ,19, 2003年 , 塔楼,44, 一年前发布,6700000.0,"83,355元/平",近地铁 VR看装修 房本满五年 
清缘东里新上临河观景南北两居室，公摊小，业主靠谱,清缘东里,清河,2室1厅 ,64.85, 南 北 , 简装 ,5, 2003年 , 板楼,17, 5个月以前发布,5700000.0,"87,896元/平",VR房源 房本满五年 
燕清园东南向两居，满五唯一，精装修高层8号楼价能谈,燕清源,清河,2室1厅 ,104.37, 东 南 北 , 精装 ,28, 2005年 , 板塔结合,8, 11个月以前发布,8980000.0,"86,041元/平",VR房源 房本满五年 
清缘东里 临河观景 满五唯一 餐客分离 正规3居,清缘东里,清河,3室2厅 ,106.59, 南 北 , 精装 ,5, 2003年 , 板楼,51, 5个月以前发布,9400000.0,"88,189元/平",VR看装修 房本满五年 
橡树湾四期南向三居室+高楼层+好视野,橡树湾四期,清河,3室2厅 ,139.26, 南 , 精装 ,25, 2014年 , 板塔结合,14, 4个月以前发布,18500000.0,"132,846元/平",VR看装修 房本满五年 
海淀清河 近奥森 中低楼层 中间位置 精装修 大两居,宝盛北里,清河,2室1厅 ,101.57, 南 北 , 简装 ,6, 2004年 , 板楼,13, 6个月以前发布,6800000.0,"66,949元/平",VR看装修 房本满五年 
福美苑 南向两居室 中间层 精装修 商品房,福美苑,清河,2室1厅 ,83.3, 南 , 精装 ,21, 2012年 , 板楼,77, 7个月以前发布,6550000.0,"78,632元/平",近地铁 VR房源 房本满两年 
清河 福美苑小区 南北通透两居室 中间楼层 精装修,福美苑,清河,3室1厅 ,89.53, 南 北 , 精装 ,16, 2012年 , 板楼,48, 4个月以前发布,5980000.0,"66,794元/平",近地铁 VR看装修 房本满五年 
全南采光充足 不易被调 小区里的新楼,621小区,清河,2室1厅 ,58.1, 南 , 其他 ,6, 1989年 , 塔楼,3, 5个月以前发布,5200000.0,"89,501元/平",近地铁 VR看装修 房本满五年 
美和园东区两居，户型方正，明厨明卫，诚意出售,金隅美和园东区,清河,2室1厅 ,72.62, 东南 西北 , 简装 ,6, 2008年 , 板楼,32, 一年前发布,6160000.0,"84,826元/平",近地铁 VR看装修 房本满五年 
强佑清河新城府学上院精装修大两居，落地飘窗，视野好,强佑清河新城府学上院,清河,2室1厅 ,92.4, 东北 , 精装 ,22, 2009年 , 板塔结合,14, 10个月以前发布,8100000.0,"87,663元/平",近地铁 VR看装修 房本满五年 
金隅美和园 满五唯一商品房 南向正规一居室,金隅美和园,清河,1室1厅 ,64.45, 南 , 精装 ,9, 2008年 , 板楼,42, 8个月以前发布,5370000.0,"83,321元/平",VR看装修 房本满五年 
海淀清河 双地铁 南向一居 中间层 此房户型已做两居,信息学院家属楼,清河,2室1厅 ,40.8, 南 , 精装 ,6, 1986年 , 板楼,48, 4个月以前发布,2890000.0,"70,834元/平",近地铁 VR看装修 房本满五年 
精装两居，明厨明卫，视野开阔无遮挡,水木天成,清河,2室1厅 ,88.69, 东北 , 精装 ,28, 2005年 , 塔楼,31, 5个月以前发布,6250000.0,"70,471元/平",近地铁 VR看装修 房本满五年 
莱圳家园 1室1厅 西,莱圳家园,清河,1室1厅 ,70.51, 西 , 简装 ,16, 2012年 , 板楼,20, 9个月以前发布,6230000.0,"88,357元/平",近地铁 VR看装修 房本满五年 
观景园一居室，满五年唯一，精装修，视野开阔,观景园,清河,1室1厅 ,64.9, 东 , 精装 ,6, 2011年 , 板楼,107, 一年前发布,5500000.0,"84,746元/平",VR看装修 房本满五年 
高巢 电梯直达 高楼层 视野开阔,高巢,清河,1室0厅 ,52.72, 西南 , 精装 ,15, 2005年 , 板塔结合,1, 4个月以前发布,4300000.0,"81,563元/平",近地铁 VR看装修 房本满五年 
正规三居，板楼，采光好，视野好，集中供暖，有公园。,金隅美和园东区,清河,3室1厅 ,87.93, 南 北 , 简装 ,6, 2010年 , 板楼,450, 一年前发布,6600000.0,"75,060元/平",近地铁 VR看装修 房本满五年 
清河永泰西里 满二年 中间层 位置好 采光充足 自住中,永泰西里,清河,1室1厅 ,46.39, 南 , 简装 ,6, 1996年 , 板楼,5, 5个月以前发布,3800000.0,"81,915元/平",近地铁 VR房源 房本满两年 
奥森北 海淀清河观景园  低密度板楼社区 精装修一居室,观景园,清河,1室1厅 ,66.79, 西北 , 精装 ,6, 2008年 , 板楼,7, 一年前发布,5800000.0,"86,840元/平",VR看装修 房本满五年 
宝盛里芳清园，精装修正规一居室，电梯房，户型方正,芳清园,清河,1室1厅 ,78.08, 西 , 其他 ,9, 2007年 , 板楼,75, 一年前发布,6150000.0,"78,766元/平",VR看装修 房本满两年 
橡林郡精装修高楼层开间，视野好，采光好,橡林郡,清河,1室0厅 ,47.0, 西 , 精装 ,21, 2020年 , 板楼,10, 一年前发布,5100000.0,"108,511元/平",近地铁 VR看装修 房本满两年 
金隅美和园 小区中间位置 正南向 采光好 诚意出售,金隅美和园,清河,1室1厅 ,58.94, 南 , 精装 ,9, 2008年 , 板楼,24, 5个月以前发布,5190000.0,"88,056元/平",近地铁 VR看装修 房本满五年 随时看房 
清河五彩城旁，南北通透正规一居室，高楼层采光好。,花园楼,清河,1室1厅 ,45.1, 南 北 , 简装 ,6, 1980年 , 板楼,8, 9个月以前发布,3650000.0,"80,932元/平",VR看装修 房本满五年 
永泰东里 南向 中间层一居 诚心出售,永泰东里,清河,1室1厅 ,46.81, 南 , 精装 ,6, 1998年 , 板楼,16, 5个月以前发布,3730000.0,"79,684元/平",近地铁 VR看装修 房本满两年 
世华龙樾一期西区 满五唯一 全南向 近地铁 国企开发商,世华龙樾一期西区,清河,1室1厅 ,52.21, 南 , 简装 ,18, 2014年 , 板楼,6, 6个月以前发布,5050000.0,"96,725元/平",VR看装修 房本满五年 
上地 清河 五彩城 621小区两居室精装房,621小区,清河,2室1厅 ,43.0, 南 , 精装 ,5, 1991年 , 板楼,7, 4个月以前发布,4350000.0,"101,163元/平",近地铁 VR看装修 房本满两年 
海淀清河观澳园 主力格局 产权清晰简单 稳定签约,观澳园,清河,1室0厅 ,41.2, 东 , 精装 ,6, 2006年 , 板楼,58, 一年前发布,3590000.0,"87,136元/平",近地铁 VR看装修 房本满两年 
清河永泰东里一居室，满五年家庭名下唯一住房，,永泰东里,清河,1室1厅 ,47.62, 东 , 简装 ,6, 1997年 , 板楼,5, 8个月以前发布,3850000.0,"80,849元/平",近地铁 VR看装修 房本满五年 
永泰园2003年房子，满五年唯一住房，中间楼层,永泰园,清河,2室1厅 ,85.29, 南 北 , 精装 ,6, 2002年 , 板楼,73, 一年前发布,7250000.0,"85,005元/平",近地铁 VR看装修 房本满五年 
永泰东里 满五年唯一 南向 产权清晰 随时出售,永泰东里,清河,1室1厅 ,48.1, 南 , 其他 ,6, 1994年 , 板楼,9, 9个月以前发布,3500000.0,"72,766元/平",近地铁 VR看装修 房本满五年 
通透户型，，配套齐全生活便利 诚意出售,毛纺厂西小区,清河,2室1厅 ,57.0, 东 西 , 简装 ,6, 1988年 , 板楼,3, 一年前发布,4650000.0,"81,579元/平",近地铁 VR房源 房本满五年 
海清园，商品房社区，正规一居室，户型方正，近地铁,海清园,清河,1室1厅 ,52.23, 东 北 , 精装 ,18, 2001年 , 塔楼,9, 5个月以前发布,3750000.0,"71,798元/平",近地铁 VR看装修 房本满五年 
永泰东里 南向  低楼层 一居室,永泰东里,清河,1室1厅 ,44.68, 南 , 简装 ,6, 1996年 , 板楼,8, 6个月以前发布,3500000.0,"78,335元/平",近地铁 VR看装修 房本满两年 
学府树家园五区  南北通透三居室  全明格局 带储物间,橡树湾三期,清河,3室2厅 ,156.22, 南 北 , 精装 ,18, 2011年 , 板塔结合,41, 一年前发布,19980000.0,"127,897元/平",VR看装修 随时看房 
橡树湾二期   花园洋房  南北通透  前后花园 位置安静,橡树湾二期,清河,4室2厅 ,210.34, 南 北 , 精装 ,9, 2008年 , 板楼,14, 7个月以前发布,28000000.0,"133,118元/平",近地铁 VR房源 
橡树湾四期   精装修   户型方正  视野开阔  诚意出售,橡树湾四期,清河,3室2厅 ,179.23, 南 北 , 其他 ,25, 2014年 , 板塔结合,7, 一年前发布,24800000.0,"138,370元/平",VR看装修 
橡林郡下跃四居室精装修，使用面积145平，位置安静,橡林郡,清河,4室2厅 ,72.65, 南 , 精装 ,18, 2020年 , 板塔结合,16, 5个月以前发布,12300000.0,"169,305元/平",近地铁 VR房源 
强佑清河新城府学上院南北通透户型方正，精装修,强佑清河新城府学上院,清河,4室2厅 ,181.9, 南 北 , 精装 ,29, 2021年 , 板塔结合,11, 5个月以前发布,15500000.0,"85,212元/平",VR看装修 随时看房 
满五唯一商品房  东南北三面采光 明厨明卫 诚意出售,金隅美和园,清河,1室1厅 ,48.53, 东 南 北 , 简装 ,9, 2009年 , 板楼,17, 一年前发布,4600000.0,"94,787元/平",近地铁 VR看装修 房本满两年 
冶金家属楼 明厅  永泰庄ditie旁边，满五唯一,后屯路32号院,清河,2室1厅 ,58.2, 南 北 , 精装 ,6, 1996年 , 板楼,14, 9个月以前发布,4890000.0,"84,021元/平",近地铁 VR房源 房本满五年 
海清园 带电梯2001年商品房 满五年唯一 配套齐全,海清园,清河,1室1厅 ,58.4, 东北 , 简装 ,18, 2001年 , 塔楼,7, 6个月以前发布,4280000.0,"73,288元/平",近地铁 VR房源 房本满五年 
三居室  满足需求  出行方便,毛纺厂西小区,清河,3室1厅 ,85.2, 南 北 , 简装 ,4, 1958年 , 板楼,89, 一年前发布,7000000.0,"82,160元/平",近地铁 VR看装修 房本满五年 
