宝盛北里三居室，高楼层，电梯直达，满五年唯一,宝盛北里,清河,3室1厅 ,140.25, 南 北 , 精装 ,9, 2004年 , 板楼,89, 3个月以前发布,9600000.0,"68,450元/平",VR房源 房本满五年 
永泰东里   精装修两居  业主自住,永泰东里,清河,2室1厅 ,57.59, 东 西 , 精装 ,6, 1998年 , 板楼,3, 5个月以前发布,4100000.0,"71,193元/平",近地铁 VR看装修 
强佑府学上院业主诚意出售精致南向小户型,强佑清河新城府学上院,清河,1室0厅 ,42.35, 东南 , 简装 ,18, 2020年 , 板塔结合,5, 3个月以前发布,3950000.0,"93,271元/平",近地铁 VR看装修 
五一可看永泰东里  5层 满五年唯一 8号线永泰庄随时签,永泰东里,清河,1室1厅 ,58.91, 东 南 西 , 其他 ,6, 2000年 , 板楼,2, 11个月以前发布,4250000.0,"72,144元/平",近地铁 VR房源 房本满五年 
宝盛里 一居室 全南向 户型方正 精装修 采光充足,宝盛里,清河,1室1厅 ,55.5, 南 , 精装 ,6, 2001年 , 板楼,6, 一年前发布,4190000.0,"75,496元/平",VR房源 
毛南一层变换格局 随时看 随时签约 价格可谈,毛纺厂南小区,清河,2室1厅 ,50.5, 南 北 , 毛坯 ,6, 1984年 , 板楼,100, 5个月以前发布,4780000.0,"94,654元/平",近地铁 VR房源 随时看房 
橡树湾四期高层视野好精装修两居诚意出售,橡树湾四期,清河,2室1厅 ,109.4, 东 西 , 精装 ,20, 2013年 , 板楼,2, 4个月以前发布,14000000.0,"127,971元/平",VR看装修 房本满两年 
世华龙樾一期西区 东西两居室 人车分流 交通便利 诚售,世华龙樾一期西区,清河,2室1厅 ,76.0, 东 西 , 简装 ,15, 2018年 , 板楼,23, 6个月以前发布,7000000.0,"92,106元/平",近地铁 VR看装修 
观景园 2室1厅 南 北,观景园,清河,2室1厅 ,90.95, 南 北 , 其他 ,6, 2008年 , 板楼,6, 5个月以前发布,8380000.0,"92,139元/平",VR房源 
加气混凝土厂宿舍  满五年唯一商品房   小区中间位置,加气混凝土厂宿舍,清河,3室0厅 ,60.0, 东 南 北 , 简装 ,5, 1981年 , 板楼,8, 11个月以前发布,4800000.0,"80,000元/平",VR看装修 
海淀 清河 花园新区 精装两居室,花园新区,清河,2室1厅 ,71.78, 东北 , 其他 ,19, 2010年 , 塔楼,36, 6个月以前发布,5050000.0,"70,354元/平",VR看装修 
强佑清河新城府学上院 2018年房龄 南向两居 格局好,强佑清河新城府学上院,清河,2室1厅 ,93.16, 南 , 简装 ,24, 2017年 , 板塔结合,55, 10个月以前发布,8500000.0,"91,241元/平",近地铁 VR房源 房本满两年 
橡树湾一期，东南两居室，精装修诚意出售,橡树湾一期,清河,2室1厅 ,88.3, 东南 , 精装 ,22, 2008年 , 板塔结合,35, 7个月以前发布,11600000.0,"131,371元/平",近地铁 VR看装修 
清河毛纺厂南小区 低楼层2居室 随时看,毛纺厂南小区,清河,2室1厅 ,60.0, 南 北 , 毛坯 ,6, 1987年 , 板楼,12, 9个月以前发布,4580000.0,"76,334元/平",近地铁 VR看装修 
世华龙越一期西区南向一居室，人车分流，业主诚售,世华龙樾一期西区,清河,1室1厅 ,56.69, 南 , 精装 ,17, 2018年 , 板楼,16, 3个月以前发布,5050000.0,"89,081元/平",近地铁 VR看装修 
永泰东里满五唯一主卧带阳台朝南次卧朝北两居室,永泰东里,清河,2室1厅 ,57.51, 南 北 , 简装 ,6, 1996年 , 板楼,3, 4个月以前发布,4290000.0,"74,596元/平",近地铁 VR看装修 房本满五年 随时看房 
永泰园 3室0厅 南 北,永泰园,清河,3室0厅 ,56.87, 南 北 , 简装 ,6, 1980年 , 板楼,14, 5个月以前发布,4300000.0,"75,612元/平",近地铁 VR看装修 房本满两年 
中央财经大学家属楼 中间层  南北通透 采光充足 急售,中央财经大学家属楼,清河,3室1厅 ,82.96, 南 北 , 简装 ,6, 1998年 , 板楼,37, 2个月以前发布,6290000.0,"75,820元/平",近地铁 VR房源 房本满五年 
毛纺厂南小区 南北两居 中间楼层 满五唯一 诚意出售,毛纺厂南小区,清河,2室1厅 ,47.5, 南 北 , 精装 ,5, 1975年 , 板楼,9, 2个月以前发布,3650000.0,"76,843元/平",近地铁 VR看装修 房本满五年 
砂轮厂宿舍四居室，低楼层，看房联系我,砂轮厂宿舍,清河,4室1厅 ,82.3, 南 北 , 简装 ,5, 1987年 , 板楼,5, 1个月以前发布,6100000.0,"74,120元/平",近地铁 VR看装修 房本满五年 
永泰园商品房小区，精装修两居室。,永泰园新地标,清河,2室1厅 ,82.22, 西 , 简装 ,17, 2002年 , 塔楼,18, 3个月以前发布,6090000.0,"74,070元/平",VR看装修 房本满两年 
橡树湾一期 东南两居室 满五唯一 好楼层,橡树湾一期,清河,2室1厅 ,88.23, 东南 , 精装 ,18, 2007年 , 板塔结合,4, 1个月以前发布,11980000.0,"135,782元/平",近地铁 VR看装修 房本满五年 
高巢 1室1厅 南 西,高巢,清河,1室1厅 ,54.1, 南 西 , 简装 ,15, 2005年 , 板塔结合,1, 1个月以前发布,4600000.0,"85,028元/平",近地铁 VR看装修 房本满五年 
宝盛北里三室两厅，不临街，精装修，双卧朝南,宝盛北里,清河,3室2厅 ,105.91, 南 西 北 , 精装 ,6, 2004年 , 板楼,9, 2个月以前发布,8000000.0,"75,536元/平",VR房源 
强佑清河新城府学上院 1室0厅 西,强佑清河新城府学上院,清河,1室0厅 ,32.41, 西 , 其他 ,24, 2020年 , 板塔结合,4, 2个月以前发布,3350000.0,"103,364元/平",近地铁 VR看装修 
毛纺厂西小区 3室1厅 南 北,毛纺厂西小区,清河,3室1厅 ,67.2, 南 北 , 简装 ,6, 1986年 , 板楼,1, 1个月以前发布,6150000.0,"91,518元/平",VR看装修 房本满五年 
冶金家属院 满五唯一 南北通透  近地铁 装修好小两居,小营东路5号院,清河,2室1厅 ,54.6, 南 北 , 精装 ,5, 1985年 , 板楼,13, 2个月以前发布,3780000.0,"69,231元/平",近地铁 VR房源 房本满五年 
橡树湾四期  视野开阔 通透户型 满五唯一 看房随时,橡树湾四期,清河,2室1厅 ,109.03, 东 西 , 其他 ,20, 2013年 , 板楼,1, 2个月以前发布,14200000.0,"130,240元/平",VR看装修 房本满五年 随时看房 
强佑清河新城府学上院 1室1厅 东北,强佑清河新城府学上院,清河,1室1厅 ,48.29, 东北 , 精装 ,24, 2020年 , 板塔结合,5, 1个月以前发布,4460000.0,"92,359元/平",近地铁 VR看装修 
毛纺厂南小区满五年唯一 全明格局 南北通透 采光好,毛纺厂南小区,清河,2室1厅 ,70.4, 南 北 , 其他 ,6, 1997年 , 板楼,6, 2个月以前发布,4590000.0,"65,199元/平",VR房源 房本满五年 
永泰园南北通两居，满五年，两居室采光好,永泰园,清河,2室1厅 ,51.99, 南 北 , 精装 ,7, 1999年 , 板楼,21, 1个月以前发布,3500000.0,"67,321元/平",近地铁 VR看装修 房本满五年 
强佑清河新城府学上院 1室1厅 西南,强佑清河新城府学上院,清河,1室1厅 ,57.56, 西南 , 精装 ,27, 2009年 , 板塔结合,2, 2个月以前发布,5100000.0,"88,604元/平",近地铁 VR看装修 房本满两年 
力度家园，南北通透两居室，双卫，高楼层，视野开阔,力度家园,清河,2室2厅 ,110.25, 南 北 , 精装 ,21, 2004年 , 板塔结合,8,18,8700000.0,"78,912元/平",VR房源 房本满两年 
南北通透两居室，业主诚意出售，看房提前约,砂轮厂宿舍,清河,2室1厅 ,56.4, 南 北 , 精装 ,5, 1993年 , 板楼,0, 4个月以前发布,3990000.0,"70,745元/平",近地铁 VR看装修 
观澳园  中间层 南向一居  视野宽广 随时签约,观澳园,清河,1室0厅 ,45.34, 南 , 精装 ,5, 2006年 , 板楼,2, 3个月以前发布,4200000.0,"92,634元/平",VR看装修 
房本已满五年，商品房，南北通透一居，诚意售,宝盛北里,清河,2室1厅 ,67.69, 南 北 , 精装 ,6, 2004年 , 板楼,4, 2个月以前发布,5300000.0,"78,299元/平",VR看装修 房本满五年 
橡林郡 精装三居   小区中间位置   中间层 全明户型,橡林郡,清河,3室1厅 ,119.8, 南 北 , 精装 ,18, 2020年 , 板塔结合,12, 2个月以前发布,16900000.0,"141,069元/平",近地铁 VR看装修 房本满两年 
观景园，明厨明卫一居室，前后不临街，稳定签约,观景园,清河,1室1厅 ,66.67, 东 北 , 简装 ,6, 2008年 , 板楼,0, 2个月以前发布,5580000.0,"83,696元/平",VR房源 房本满五年 
信息科技大学 中间层 明卫 三居室 满五年的一手业主,信息学院家属楼,清河,3室1厅 ,89.0, 南 北 , 精装 ,4, 1986年 , 板楼,8, 2个月以前发布,6200000.0,"69,663元/平",VR看装修 
砂轮厂宿舍，南北通透，低楼层，户型方正，近地铁,砂轮厂宿舍,清河,2室1厅 ,51.5, 南 北 , 精装 ,6, 1988年 , 板楼,12, 2个月以前发布,3950000.0,"76,700元/平",近地铁 VR看装修 房本满两年 
永泰庄甲6号院 2室0厅 东 南,永泰庄甲6号院,清河,2室0厅 ,54.8, 东 南 , 其他 ,6, 1986年 , 板楼,0,19,4200000.0,"76,643元/平",近地铁 VR看装修 房本满两年 
清河阳光南里 精装两居  满五年唯一,阳光南里,清河,2室1厅 ,68.83, 东 西 , 精装 ,6, 1998年 , 板楼,3,17,4900000.0,"71,190元/平",近地铁 VR房源 房本满五年 
美和园东区低楼层两居，板楼出入方便，位置安静。,金隅美和园东区,清河,2室1厅 ,81.18, 南 北 , 简装 ,6, 2009年 , 板楼,2,19,6350000.0,"78,222元/平",近地铁 VR看装修 房本满五年 
清缘里中区电梯南向一居室 精装修 采光好不临街,清缘里中区,清河,1室1厅 ,49.6, 南 , 其他 ,10, 1998年 , 板楼,7, 2个月以前发布,3990000.0,"80,444元/平",VR看装修 房本满五年 
永泰园满5年唯一，2层，南北通透，无遮无挡,永泰园,清河,2室1厅 ,56.7, 南 北 , 简装 ,5, 1993年 , 板楼,6, 2个月以前发布,4250000.0,"74,956元/平",近地铁 VR看装修 房本满五年 
世华，户型好高板电梯房，全南电梯一居，适合贷款,世华龙樾一期西区,清河,1室1厅 ,52.29, 南 , 简装 ,18, 2014年 , 板塔结合,0,18,5350000.0,"102,315元/平",VR看装修 房本满两年 
怡清园 3室3厅 南 北,怡清园,清河,3室3厅 ,148.19, 南 北 , 简装 ,6, 2003年 , 板楼,2, 2个月以前发布,9100000.0,"61,408元/平",近地铁 VR房源 房本满五年 
莱圳家园 2室2厅 东 西,莱圳家园,清河,2室2厅 ,93.78, 东 西 , 简装 ,17, 2012年 , 板楼,7, 2个月以前发布,8350000.0,"89,039元/平",近地铁 VR房源 房本满五年 随时看房 
没有遮挡，落地窗户采光好，小区内半人车分流，无抵押,永泰园新地标,清河,2室1厅 ,93.73, 西南 , 精装 ,31, 2002年 , 塔楼,4,18,6300000.0,"67,215元/平",近地铁 VR看装修 房本满五年 
海淀清河 燕清源精装一居室 满五年唯一 靠谱出售,燕清源,清河,1室1厅 ,74.15, 西北 , 其他 ,28, 2005年 , 板塔结合,5, 2个月以前发布,6550000.0,"88,335元/平",近地铁 VR看装修 房本满五年 
南北朝向，诚心出售，满五唯一，光线好,毛纺厂南小区,清河,2室1厅 ,60.1, 南 北 , 精装 ,6, 1994年 , 板楼,1,6,4000000.0,"66,556元/平",近地铁 VR房源 房本满五年 
莱圳家园北区，二居精装修，地铁八号线西小口站550米,莱圳家园,清河,2室1厅 ,94.92, 东南 西北 , 精装 ,16, 2009年 , 板楼,30, 3个月以前发布,7350000.0,"77,434元/平",近地铁 VR看装修 随时看房 
清缘东里 南北通透 满五唯一 落地窗 带电梯 前后花园,清缘东里,清河,2室1厅 ,82.66, 南 北 , 简装 ,13, 2003年 , 板楼,22, 3个月以前发布,6800000.0,"82,265元/平",近地铁 VR房源 房本满五年 随时看房 
21万元精装修  南向没有遮挡 采光充足  看房方便,花园楼,清河,1室1厅 ,44.7, 南 , 其他 ,6, 1986年 , 板楼,3, 1个月以前发布,3880000.0,"86,801元/平",VR房源 房本满两年 
四期精装修 满五年 业主自住 保持好,橡树湾四期,清河,2室1厅 ,100.71, 西 南 , 精装 ,25, 2014年 , 板塔结合,1, 1个月以前发布,12980000.0,"128,885元/平",VR房源 房本满五年 
海淀 清河 莱圳家园 南向两居 带电梯 近地铁,莱圳家园,清河,2室1厅 ,73.65, 南 , 精装 ,15, 2006年 , 板楼,12,11,7500000.0,"101,833元/平",近地铁 VR看装修 
橡树湾三期，方正户型，高层观景房，,橡树湾三期,清河,2室1厅 ,94.67, 东 西 , 精装 ,23, 2011年 , 板塔结合,4, 2个月以前发布,11900000.0,"125,700元/平",近地铁 VR房源 房本满五年 
高巢2005年小区、近地铁、有电梯，北向一居室,高巢,清河,1室0厅 ,37.17, 北 , 其他 ,15, 2005年 , 板塔结合,1,8,3380000.0,"90,934元/平",近地铁 VR看装修 随时看房 
清缘里中区电梯两居室，欢迎来访,清缘里中区,清河,2室1厅 ,73.95, 南 北 , 精装 ,10, 1998年 , 板楼,8, 1个月以前发布,5500000.0,"74,375元/平",VR房源 房本满五年 
怡清园 正规三居室 2003年商品房小区 近地铁近公园,怡清园,清河,3室1厅 ,105.38, 东 西 , 精装 ,6, 2003年 , 板楼,3,13,6700000.0,"63,580元/平",近地铁 VR房源 房本满五年 
本周总监推荐 永泰西里 采光好 适合刚需客户,永泰西里,清河,2室1厅 ,60.31, 东 西 , 精装 ,6, 1998年 , 板楼,7, 1个月以前发布,3950000.0,"65,495元/平",近地铁 VR房源 房本满五年 
永泰园正规一居室中间层 满五年无抵押,永泰园,清河,1室1厅 ,50.06, 北 , 简装 ,6, 2002年 , 板楼,2, 1个月以前发布,3550000.0,"70,915元/平",近地铁 VR看装修 房本满五年 
永泰东里 满五唯一 商品房 中间层 南北通透 诚心出售,永泰东里,清河,2室1厅 ,61.02, 南 北 , 精装 ,6, 1996年 , 板楼,7, 2个月以前发布,4950000.0,"81,121元/平",近地铁 VR房源 房本满五年 
永泰东里 1室1厅 南,永泰东里,清河,1室1厅 ,48.1, 南 , 其他 ,6, 1994年 , 板楼,5, 2个月以前发布,3800000.0,"79,003元/平",近地铁 VR看装修 房本满两年 
装修保养如新 少有的两居户型 带大阳台 居住舒适度高,橡树湾四期,清河,2室1厅 ,85.33, 东 , 精装 ,18, 2013年 , 板塔结合,2,8,10800000.0,"126,568元/平",VR看装修 房本满五年 
中间楼层，视野开阔采光好，居住保养新，稳定出售,橡树湾四期,清河,2室1厅 ,98.02, 西南 , 精装 ,18, 2013年 , 板塔结合,1, 1个月以前发布,13500000.0,"137,727元/平",VR看装修 房本满五年 
毛纺厂南小区，南北通透，价格可谈,毛纺厂南小区,清河,3室1厅 ,71.4, 南 北 , 精装 ,6, 1992年 , 板楼,10, 5个月以前发布,4500000.0,"63,026元/平",近地铁 VR看装修 随时看房 
永泰园板楼  两居 中间楼层 南北通透,永泰园,清河,2室1厅 ,68.38, 南 北 , 简装 ,6, 1998年 , 板楼,39, 一年前发布,5490000.0,"80,287元/平",近地铁 VR看装修 
卫生局宿舍 复式户型，全明户型,卫生局宿舍,清河,3室2厅 ,82.2, 南 北 , 其他 ,6, 2000年 , 板楼,13, 5个月以前发布,5990000.0,"72,872元/平",近地铁 VR房源 
毛纺厂南小区一层南北通透实用三居室,毛纺厂南小区,清河,3室1厅 ,59.5, 南 北 东 , 其他 ,6, 1980年 , 板塔结合,84, 一年前发布,4680000.0,"78,656元/平",近地铁 VR房源 房本满两年 
花园楼小区 南北两居室  产权清晰  靠谱卖  随时签约,花园楼,清河,2室1厅 ,60.9, 南 北 , 简装 ,6, 1980年 , 板楼,15, 9个月以前发布,3950000.0,"64,861元/平",VR看装修 
南北通透，品质小区，电梯房，配套齐全，观景房,强佑清河新城府学上院,清河,2室2厅 ,122.62, 南 北 , 精装 ,29, 2021年 , 板塔结合,8, 9个月以前发布,11180000.0,"91,176元/平",VR看装修 
宝盛北里正规两居，满五年唯一，无抵押，无户口,宝盛北里,清河,2室2厅 ,105.2, 南 北 , 精装 ,6, 2004年 , 板楼,17, 11个月以前发布,8000000.0,"76,046元/平",VR房源 房本满两年 
清缘里户型方正两居室，欢迎来访,清缘里中区,清河,2室1厅 ,65.34, 东 西 , 精装 ,10, 1998年 , 板楼,26, 7个月以前发布,4580000.0,"70,095元/平",VR看装修 
小营东路7号院 精装修 中间层 明厅 户型方正,小营东路7号院,清河,2室1厅 ,90.85, 东 西 , 精装 ,6, 1999年 , 板楼,6, 9个月以前发布,6850000.0,"75,400元/平",VR看装修 房本满两年 
世华龙樾一期西区  人车分流 近地铁 新小区 户型好,世华龙樾一期西区,清河,1室1厅 ,56.5, 南 , 其他 ,17, 2018年 , 板楼,29, 5个月以前发布,5000000.0,"88,496元/平",近地铁 VR看装修 
海淀 清河 清缘里中区  精装修 2居室 有电梯 首付210,清缘里中区,清河,2室1厅 ,76.44, 东 西 , 精装 ,9, 1998年 , 板楼,28, 4个月以前发布,4780000.0,"62,533元/平",VR看装修 房本满两年 
永泰园 一层两居 满五年唯一 诚心出售,永泰园,清河,2室1厅 ,40.23, 南 北 , 简装 ,6, 1975年 , 板楼,32, 5个月以前发布,3250000.0,"80,786元/平",近地铁 VR看装修 
永泰园03年商品房小区带电梯。无遮挡。,永泰园新地标,清河,2室1厅 ,100.11, 东 , 精装 ,17, 2003年 , 塔楼,16, 4个月以前发布,6500000.0,"64,929元/平",VR看装修 
此房是满五年唯一户型方正没有抵押楼层高视野好无遮挡,美欣家园,清河,1室1厅 ,62.84, 西 , 精装 ,15, 2003年 , 板楼,10, 9个月以前发布,5150000.0,"81,955元/平",近地铁 VR房源 
花园新区  看房方便 随时签约，,花园新区,清河,2室1厅 ,103.95, 南 , 精装 ,20, 2010年 , 塔楼,46, 4个月以前发布,6160000.0,"59,260元/平",VR看装修 
永泰园 2层 满五年唯一 双地铁配套,永泰园,清河,1室1厅 ,55.2, 南 , 简装 ,6, 2000年 , 板楼,38, 6个月以前发布,3960000.0,"71,740元/平",近地铁 VR看装修 
总监力荐，南北通透，双阳台，中间楼层,永泰中路23号,清河,2室2厅 ,108.69, 南 北 , 简装 ,6, 2002年 , 板楼,4,18,7700000.0,"70,844元/平",近地铁 VR看装修 房本满五年 
燕清源 2室1厅 南 北,燕清源,清河,2室1厅 ,104.0, 南 北 , 简装 ,28, 2005年 , 板塔结合,1,7,8500000.0,"81,731元/平",VR看装修 房本满五年 
永泰东里 南向 一室一厅 诚心出售  永泰庄,永泰东里,清河,1室1厅 ,41.27, 南 , 其他 ,6, 1999年 , 板楼,3, 1个月以前发布,3200000.0,"77,539元/平",近地铁 VR看装修 房本满两年 
后屯路32号院 2室1厅 南 北,后屯路32号院,清河,2室1厅 ,73.28, 南 北 , 其他 ,6, 1996年 , 板楼,10, 2个月以前发布,5200000.0,"70,961元/平",近地铁 VR看装修 房本满两年 
621小区 2室1厅 东 南 北,621小区,清河,2室1厅 ,41.5, 东 南 北 , 其他 ,5, 1970年 , 板楼,0, 刚刚发布,4000000.0,"96,386元/平",近地铁 VR房源 房本满两年 
强佑清河新城府学上院 1室1厅 东,强佑清河新城府学上院,清河,1室1厅 ,56.02, 东 , 简装 ,27, 2009年 , 板塔结合,2,6,4200000.0,"74,974元/平",近地铁 VR看装修 房本满五年 
金隅美和园 2室1厅 南 北,金隅美和园,清河,2室1厅 ,84.34, 南 北 , 精装 ,9, 2009年 , 板楼,1,3,6600000.0,"78,255元/平",近地铁 VR看装修 房本满五年 
海淀清河砂轮厂宿舍南北通透两居室 靠谱出售,砂轮厂宿舍,清河,2室1厅 ,56.1, 南 北 , 其他 ,5, 1986年 , 板楼,1,1,3450000.0,"61,498元/平",近地铁 VR房源 房本满两年 
橡树湾四期 东西通透  楼层高 视野好 精装修 诚售,橡树湾四期,清河,2室2厅 ,109.4, 东 西 , 精装 ,20, 2013年 , 板楼,0,14,12500000.0,"114,260元/平",VR看装修 房本满五年 
合景映月台 3室1厅 南 北,合景映月台,清河,3室1厅 ,97.73, 南 北 , 其他 ,8, 2016年 , 板楼,0,5,12000000.0,"122,788元/平",VR看装修 房本满五年 
强佑清河新城府学上院 1室1厅 西北,强佑清河新城府学上院,清河,1室1厅 ,47.13, 西北 , 其他 ,24, 2020年 , 板塔结合,1,16,4300000.0,"91,238元/平",近地铁 VR房源 
小营东路17号院  明厅三居室 南北通透 中间层,电力宿舍,清河,3室1厅 ,93.2, 东 南 北 , 简装 ,6, 1986年 , 板楼,14, 1个月以前发布,6090000.0,"65,344元/平",近地铁 VR看装修 随时看房 
强佑清河新城府学上院东向正规两居室,强佑清河新城府学上院,清河,2室1厅 ,98.7, 东 , 精装 ,27, 2009年 , 板塔结合,7,6,6950000.0,"70,416元/平",近地铁 VR看装修 房本满五年 
清河永泰西里 满五唯一 南北通透 中间层 不临街不把边,永泰西里,清河,2室1厅 ,58.6, 南 北 , 精装 ,6, 1993年 , 板楼,11, 2个月以前发布,4080000.0,"69,625元/平",近地铁 VR看装修 房本满五年 随时看房 
强佑清河新城府学上院 1室1厅 东南,强佑清河新城府学上院,清河,1室1厅 ,44.42, 东南 , 其他 ,14, 2021年 , 板塔结合,13, 2个月以前发布,3450000.0,"77,668元/平",近地铁 VR看装修 
后屯路32号院 精装两居 南北通透 满五唯一商品房,后屯路32号院,清河,2室1厅 ,60.6, 南 北 , 精装 ,6, 1996年 , 板楼,7,8,5150000.0,"84,984元/平",近地铁 VR看装修 房本满五年 
永泰东里 中间层 满五唯一商品房 精装修 近永泰庄地铁,永泰东里,清河,1室1厅 ,52.53, 南 , 精装 ,6, 2000年 , 板楼,1, 1个月以前发布,4700000.0,"89,473元/平",近地铁 VR看装修 房本满五年 
莱圳家园正对小区花园一居室，主卧落地阳台，可观西山,莱圳家园,清河,1室1厅 ,68.24, 西 , 其他 ,15, 2006年 , 板楼,2,3,5450000.0,"79,866元/平",近地铁 VR房源 房本满两年 随时看房 
复式户型   三居   满五年 诚意出售 南北户型,永泰园,清河,3室2厅 ,121.03, 南 北 , 简装 ,6, 2000年 , 板楼,293, 一年前发布,7500000.0,"61,969元/平",近地铁 房本满五年 
清河宝盛里芳清园 带电梯 精装修小两居 诚心出售,芳清园,清河,2室1厅 ,78.46, 东 , 精装 ,9, 2007年 , 板楼,8,17,5900000.0,"75,198元/平",VR看装修 房本满五年 
加气混凝土厂宿舍 精装三居室 中间楼层 业主诚意出售,加气混凝土厂宿舍,清河,3室1厅 ,71.5, 南 北 , 精装 ,5, 1984年 , 板楼,2, 2个月以前发布,6200000.0,"86,714元/平",近地铁 VR看装修 
北五环新上正规南向一居，业主诚心卖,水木天成,清河,1室1厅 ,69.44, 南 , 简装 ,28, 2005年 , 塔楼,8, 2个月以前发布,5480000.0,"78,918元/平",近地铁 VR房源 房本满两年 
观澳园2005年小区，近奥森，采光无遮挡,观澳园,清河,1室0厅 ,44.83, 南 , 精装 ,5, 2005年 , 板楼,3, 2个月以前发布,3750000.0,"83,650元/平",VR看装修 房本满五年 随时看房 
成本价，明厅一居，钢混结构，看房方便,清缘里中区,清河,1室1厅 ,60.29, 南 , 简装 ,9, 1998年 , 板楼,2,19,4100000.0,"68,005元/平",VR房源 
观澳园 南北通透 临河观景 视野开阔 采光充足,观澳园,清河,2室1厅 ,76.1, 南 北 , 精装 ,5, 2005年 , 板楼,12, 2个月以前发布,5700000.0,"74,902元/平",VR房源 房本满五年 
世华龙樾二期，正规两居室，精装自住，靠谱出售可看房,世华龙樾二期,清河,2室1厅 ,87.78, 东 西 , 精装 ,4, 2015年 , 板楼,3,16,11500000.0,"131,010元/平",近地铁 VR房源 房本满五年 
总监力荐，南北通透，双阳台，中间楼层,永泰中路23号,清河,2室2厅 ,108.69, 南 北 , 简装 ,6, 2002年 , 板楼,4,18,7700000.0,"70,844元/平",近地铁 VR看装修 房本满五年 
海淀清河砂轮厂宿舍南北通透两居室 靠谱出售,砂轮厂宿舍,清河,2室1厅 ,56.1, 南 北 , 其他 ,5, 1986年 , 板楼,1,1,3450000.0,"61,498元/平",近地铁 VR房源 房本满两年 
