东馨园 中间位置中间楼层 满五年唯一商品房 精装修,东馨园,西北旺,3室1厅 ,76.0, 东 南 北 , 精装 ,6, 1992年 , 板楼,17, 2个月以前发布,6090000.0,"80,132元/平",VR看装修 房本满五年 
中海枫涟山庄 南北三居 有钥匙 业主诚意出售 满五年,中海枫涟山庄,西北旺,3室1厅 ,121.96, 南 北 , 精装 ,11, 2004年 , 板楼,80, 2个月以前发布,10980000.0,"90,030元/平",近地铁 VR看装修 房本满五年 随时看房 
景和园 小户型两居 南北通透 看房提前约 诚意出售,景和园,西北旺,2室1厅 ,69.49, 南 北 , 简装 ,6, 2011年 , 板楼,9,18,5880000.0,"84,617元/平",近地铁 VR房源 房本满两年 随时看房 
秋露园南向一居室户型方正小区中间位置精装修,秋露园,西北旺,1室1厅 ,55.69, 南 , 精装 ,6, 2004年 , 板楼,30, 3个月以前发布,4550000.0,"81,703元/平",近地铁 VR房源 房本满两年 随时看房 
全新房一天未住  双明卫 两个卧室朝南 客厅朝南,如园北区,西北旺,4室3厅 ,250.64, 东 南 北 , 精装 ,10, 2018年 , 板楼,57, 一年前发布,37100000.0,"148,022元/平",近地铁 VR看装修 房本满五年 随时看房 
西北旺夏霖园南北通透两居精装修自己住,夏霖园,西北旺,2室1厅 ,77.1, 南 北 , 精装 ,6, 2003年 , 板楼,55, 一年前发布,6600000.0,"85,604元/平",近地铁 VR房源 房本满两年 
夏霖园 中间位置 南北通透 精装修可拎包入住 随时签约,夏霖园,西北旺,2室1厅 ,76.9, 南 北 , 精装 ,6, 2003年 , 板楼,17, 7个月以前发布,6350000.0,"82,575元/平",近地铁 VR房源 房本满五年 
春晖园好三居，南北通透，客厅朝南有大阳台，空间实用,春晖园,西北旺,3室1厅 ,87.82, 南 北 , 简装 ,6, 2004年 , 板楼,53, 9个月以前发布,7500000.0,"85,402元/平",近地铁 VR房源 房本满五年 随时看房 
西山公馆三居2012年一层可以种花草人车分流低密度,西山公馆,西北旺,3室1厅 ,131.84, 东 西 , 精装 ,7, 2012年 , 板楼,107, 一年前发布,11390000.0,"86,393元/平",VR看装修 
夏霖园满五唯一南向一居中间楼层,夏霖园,西北旺,1室1厅 ,55.24, 南 , 简装 ,6, 2003年 , 板楼,18, 11个月以前发布,5450000.0,"98,661元/平",近地铁 VR看装修 房本满五年 
产权清晰、中间位置、视野开阔、随时看房,景和园,西北旺,3室1厅 ,94.77, 南 北 , 毛坯 ,6, 2011年 , 板楼,50, 8个月以前发布,7300000.0,"77,029元/平",近地铁 VR看装修 随时看房 
西山公馆南北三居电梯房，人车分流次顶层,西山公馆,西北旺,3室2厅 ,150.98, 南 北 , 精装 ,8, 2011年 , 板楼,10, 1个月以前发布,15900000.0,"105,312元/平",VR看装修 房本满两年 
百旺茉莉园 一期洋房复式 采光充足 业主诚意出售,百旺茉莉园,西北旺,4室2厅 ,217.26, 南 北 , 简装 ,5, 2006年 , 板楼,13, 4个月以前发布,18990000.0,"87,407元/平",近地铁 VR房源 房本满五年 
新上一层五局室业主诚心出售可以给周期,如园南区,西北旺,5室2厅 ,455.51, 南 北 , 精装 ,10, 2014年 , 板楼,4, 6个月以前发布,43000000.0,"94,400元/平",近地铁 VR房源 房本满五年 
正规六居 九层四居 十层两居 电梯均可直达 观西山！,如园南区,西北旺,6室2厅 ,478.92, 南 西 北 , 精装 ,10, 2014年 , 板楼,23, 10个月以前发布,48000000.0,"100,226元/平",近地铁 VR房源 房本满五年 
西山壹号院小区中间位置，中间楼层，眼睛户型三居,西山壹号院南区,西北旺,3室2厅 ,181.14, 南 北 , 简装 ,6, 2011年 , 板楼,36, 11个月以前发布,27990000.0,"154,522元/平",VR看装修 房本满五年 
润千秋佳苑 复式  5居室 户型方正,润千秋佳苑,西北旺,5室3厅 ,223.92, 南 北 , 精装 ,6, 2006年 , 板楼,42, 一年前发布,18200000.0,"81,280元/平",近地铁 VR房源 房本满五年 
单价9.1万，两个独立精装花园，四居室，双层独立私密,如园北区,西北旺,4室4厅 ,318.63, 南 北 , 精装 ,10, 2015年 , 板楼,226, 一年前发布,33000000.0,"103,569元/平",近地铁 VR房源 房本满五年 
如园南区中间位置，中间楼层四居，三面采光,如园南区,西北旺,4室2厅 ,295.06, 东 南 北 , 简装 ,10, 2014年 , 板楼,8, 4个月以前发布,33000000.0,"111,842元/平",近地铁 VR看装修 房本满五年 
万科如园 三卧朝南 南北通透 亮点多 看房方便,如园北区,西北旺,3室1厅 ,313.38, 南 北 , 精装 ,10, 2016年 , 板楼,8, 10个月以前发布,31800000.0,"101,475元/平",近地铁 VR房源 房本满两年 
南区一层带南花园 精装四居室 有车位 现代简约风格,西山壹号院南区,西北旺,4室3厅 ,330.83, 南 北 , 精装 ,6, 2011年 , 板楼,55, 一年前发布,37500000.0,"113,352元/平",VR房源 房本满五年 
西山壹号院南区 新上顶层观山4居室,西山壹号院南区,西北旺,4室2厅 ,273.22, 南 北 , 精装 ,6, 2011年 , 板楼,22, 6个月以前发布,42880000.0,"156,944元/平",VR房源 房本满五年 
百旺茉莉园二期洋房复式，中间位置，视野好，诚心卖,百旺茉莉园,西北旺,4室2厅 ,213.28, 南 北 , 精装 ,4, 2008年 , 板楼,10, 6个月以前发布,20490000.0,"96,071元/平",近地铁 VR房源 房本满五年 
西山公馆 中间南排下跃 户型好 采光足 安静 随时签约,西山公馆,西北旺,5室3厅 ,294.74, 南 北 , 精装 ,7, 2011年 , 板楼,32, 4个月以前发布,18600000.0,"63,107元/平",VR房源 房本满五年 
百旺茉莉园 满五年成本低，采光好小区中间位置,百旺茉莉园,西北旺,3室2厅 ,129.1, 南 北 , 精装 ,5, 2005年 , 板楼,42, 9个月以前发布,13700000.0,"106,120元/平",近地铁 VR看装修 房本满五年 
百旺茉莉园 3室2厅 南 北,百旺茉莉园,西北旺,3室2厅 ,159.96, 南 北 , 其他 ,9, 2007年 , 板楼,34, 7个月以前发布,15900000.0,"99,400元/平",近地铁 VR房源 房本满五年 
如园北区 不临街四居 安静舒适 有车位储物间,如园北区,西北旺,4室2厅 ,255.3, 南 西 北 , 精装 ,9, 2016年 , 板楼,15, 4个月以前发布,28990000.0,"113,553元/平",近地铁 VR房源 房本满五年 
新上房源 西山壹号院南区 南北通透三居 精装修自住,西山壹号院南区,西北旺,3室2厅 ,199.19, 南 北 , 精装 ,6, 2011年 , 板楼,24, 6个月以前发布,29200000.0,"146,594元/平",VR看装修 房本满五年 
高楼层，南北观山，采光充足，视野开阔；精装修,如园北区,西北旺,3室3厅 ,224.2, 南 北 , 精装 ,10, 2018年 , 板楼,21, 一年前发布,27600000.0,"123,105元/平",近地铁 VR看装修 房本满两年 随时看房 
百旺茉莉园一期优质高层大两居，直观西山，观景房,百旺茉莉园,西北旺,2室2厅 ,117.03, 南 北 , 其他 ,11, 2007年 , 板楼,36, 11个月以前发布,10550000.0,"90,148元/平",近地铁 VR房源 房本满五年 随时看房 
商品房、中间楼层、视野开阔、产权清晰、价格可谈,夏霖园,西北旺,1室1厅 ,55.86, 南 , 精装 ,6, 2003年 , 板楼,7, 3个月以前发布,5250000.0,"93,985元/平",近地铁 VR看装修 房本满五年 
如园北区 精装三居 位置安静 景观视野开阔,如园北区,西北旺,3室3厅 ,229.33, 南 北 , 精装 ,9, 2016年 , 板楼,7, 3个月以前发布,27500000.0,"119,915元/平",近地铁 VR看装修 房本满五年 
西山壹号院眼睛户型三居视野好，观山好房,西山壹号院南区,西北旺,3室2厅 ,181.0, 南 北 , 精装 ,6, 2011年 , 板楼,25, 5个月以前发布,26990000.0,"149,117元/平",近地铁 VR看装修 房本满五年 随时看房 
西山壹号院 大面宽一层下跃 看房方便 新房出售,西山壹号院北区,西北旺,5室3厅 ,642.29, 南 北 , 毛坯 ,6, 2012年 , 板楼,18, 一年前发布,53000000.0,"82,518元/平",VR房源 房本满五年 随时看房 
适合三代人居住 中间位置 有庭院 有车位  如同在公园,西山壹号院北区,西北旺,4室3厅 ,438.35, 南 北 , 毛坯 ,6, 2012年 , 板楼,105, 一年前发布,38000000.0,"86,689元/平",VR房源 房本满五年 随时看房 
如园南区眼睛户型四居，观山效果好，南北双通透,如园南区,西北旺,4室3厅 ,288.62, 南 北 , 精装 ,10, 2014年 , 板楼,17, 9个月以前发布,30900000.0,"107,062元/平",近地铁 VR看装修 房本满五年 随时看房 
2011年小区，精装修电梯入户，低密度住宅人车分流,西山公馆,西北旺,3室2厅 ,150.92, 南 北 , 简装 ,7, 2011年 , 板楼,59, 11个月以前发布,15800000.0,"104,692元/平",VR房源 房本满五年 
如园新出中间位置下跃户型 全新房没住过人 看房方便,如园北区,西北旺,6室4厅 ,553.06, 南 北 , 精装 ,9, 2015年 , 板楼,49, 一年前发布,45000000.0,"81,366元/平",近地铁 VR房源 房本满五年 随时看房 
秋露园南向的一居室满二年商品房有钥匙随时看,秋露园,西北旺,1室1厅 ,55.69, 南 , 简装 ,6, 2004年 , 板楼,2, 4个月以前发布,5400000.0,"96,966元/平",近地铁 VR看装修 房本满两年 随时看房 
百旺茉莉园，山脚下，水溪旁，观山观景，精品4+1户型,百旺茉莉园,西北旺,4室2厅 ,184.7, 南 北 , 精装 ,5, 2005年 , 板楼,28, 5个月以前发布,15860000.0,"85,869元/平",近地铁 VR房源 房本满五年 
两套门对门房子，一个房本只需要一个购房资格，有车位,如园北区,西北旺,6室4厅 ,438.06, 南 北 , 精装 ,10, 2015年 , 板楼,185, 一年前发布,52000000.0,"118,706元/平",近地铁 VR房源 房本满五年 
百旺茉莉园南北通透两居室，视野开阔,百旺茉莉园,西北旺,2室2厅 ,114.79, 南 北 , 其他 ,10, 2005年 , 板楼,29, 一年前发布,11300000.0,"98,441元/平",近地铁 VR看装修 房本满五年 
新上 看房方便 经典户型 满五唯一 中间位置 有庭院,西山壹号院北区,西北旺,4室3厅 ,433.91, 南 北 , 精装 ,6, 2011年 , 板楼,11, 7个月以前发布,36600000.0,"84,350元/平",VR房源 房本满五年 
精装修 中间层 1梯1户 主仆分离 看房方便 诚意出售,西山壹号院北区,西北旺,3室2厅 ,280.37, 南 北 , 精装 ,6, 2012年 , 板楼,16, 9个月以前发布,35990000.0,"128,367元/平",VR看装修 房本满五年 
小区中间位置四居，南北通透，功能间多，户型方正,如园北区,西北旺,4室2厅 ,259.14, 东 南 北 , 精装 ,10, 2015年 , 板楼,28, 一年前发布,31000000.0,"119,627元/平",近地铁 VR看装修 房本满五年 
东馨园 满五年 低 总价两居室 简单装修,东馨园,西北旺,2室1厅 ,52.8, 南 , 简装 ,6, 1992年 , 板楼,10, 7个月以前发布,4350000.0,"82,387元/平",VR房源 房本满五年 
亿城西山公馆 次新房 品质住宅 带电梯洋房 满五年唯一,西山公馆,西北旺,1室1厅 ,72.0, 东南 , 精装 ,6, 2011年 , 板楼,6, 6个月以前发布,7100000.0,"98,612元/平",VR看装修 房本满五年 
马连洼东馨园南向精装修一居室满五唯一商品房,东馨园,西北旺,1室1厅 ,42.9, 南 , 精装 ,6, 1992年 , 板楼,9, 一年前发布,4050000.0,"94,406元/平",VR房源 房本满五年 
西山公馆 中间层 东向 小户型 精装修 看房随时 诚心卖,西山公馆,西北旺,1室1厅 ,69.97, 东 , 精装 ,6, 2011年 , 板楼,3, 6个月以前发布,6800000.0,"97,185元/平",VR房源 房本满五年 随时看房 
西北旺，秋露园，中关村软件园旁，商品房，满五年唯一,秋露园,西北旺,1室1厅 ,55.32, 南 , 简装 ,6, 2004年 , 板楼,7, 9个月以前发布,5300000.0,"95,807元/平",近地铁 VR看装修 房本满五年 
秋露园 中间位置 满五年 诚心出售 随时签约 户型好,秋露园,西北旺,1室1厅 ,55.69, 南 , 精装 ,6, 2004年 , 板楼,6, 6个月以前发布,5100000.0,"91,579元/平",近地铁 VR房源 房本满五年 
东旭园南北两居，高楼层视野好，安静，全明格局,东旭园,西北旺,2室1厅 ,83.05, 南 北 , 精装 ,6, 2000年 , 板楼,63, 一年前发布,6000000.0,"72,246元/平",VR看装修 房本满五年 
冬晴园中间楼层，满5年唯一，不临街，精装修,冬晴园,西北旺,1室1厅 ,62.7, 南 北 , 精装 ,5, 2009年 , 板楼,3, 5个月以前发布,5890000.0,"93,940元/平",近地铁 VR看装修 房本满五年 
西山公馆西向精装修一居室满五年唯一商品房有电梯,西山公馆,西北旺,1室1厅 ,69.0, 西 , 精装 ,6, 2011年 , 板楼,4, 7个月以前发布,6800000.0,"98,551元/平",VR看装修 房本满五年 
成本价房，不临街，不把边，视野好，无遮挡,百草园,西北旺,2室1厅 ,88.38, 南 北 , 简装 ,6, 2002年 , 板楼,5, 6个月以前发布,7700000.0,"87,124元/平",近地铁 VR看装修 房本满五年 
苗圃宿舍 两居室 精装修 看房方便,苗圃宿舍,西北旺,2室1厅 ,54.1, 南 北 , 精装 ,6, 1987年 , 板楼,88, 一年前发布,3770000.0,"69,686元/平",VR看装修 房本满五年 
全南朝向、低楼层、产权清晰、诚意出售,夏霖园,西北旺,1室1厅 ,55.24, 南 , 简装 ,6, 2003年 , 板楼,39, 一年前发布,5450000.0,"98,661元/平",近地铁 VR看装修 房本满五年 
房子不临街，中间楼层，采光好，无遮挡,春晖园,西北旺,1室1厅 ,56.43, 南 , 简装 ,6, 2004年 , 板楼,20, 11个月以前发布,4980000.0,"88,251元/平",近地铁 VR看装修 房本满两年 
小区中间位置，看房方便，业主诚心出售,百旺茉莉园,西北旺,2室1厅 ,87.21, 南 , 其他 ,9, 2007年 , 板楼,130, 一年前发布,8500000.0,"97,466元/平",近地铁 VR看装修 房本满五年 
西北旺秋露园南北通透三居室毛坯自己装,秋露园,西北旺,3室2厅 ,95.85, 南 北 , 毛坯 ,6, 2004年 , 板楼,57, 一年前发布,7300000.0,"76,161元/平",近地铁 VR看装修 随时看房 
本房是满五年，南向三居室，诚意出售，随时签约。,百草园,西北旺,3室1厅 ,69.3, 南 , 简装 ,6, 1999年 , 板楼,53, 一年前发布,6690000.0,"96,537元/平",近地铁 VR看装修 
本房是高楼层，采光和视野好，精装修，诚意出售,百草园,西北旺,2室1厅 ,87.97, 南 北 , 精装 ,6, 1999年 , 板楼,9, 3个月以前发布,6200000.0,"70,479元/平",近地铁 VR房源 
春晖园 电梯两居室 中高楼层 南向 采光好 视野好,春晖园,西北旺,2室1厅 ,83.76, 南 , 简装 ,9, 2004年 , 板楼,13, 5个月以前发布,7760000.0,"92,646元/平",近地铁 VR看装修 
西山公馆，精装开间，有电梯，2011年社区，商品房社区,西山公馆,西北旺,1室0厅 ,41.69, 东 , 精装 ,6, 2011年 , 板楼,2, 4个月以前发布,5050000.0,"121,133元/平",VR房源 
夏霖园小区 中间位置3层 满五年唯一商品房 南北一居,夏霖园,西北旺,1室1厅 ,57.43, 南 北 , 其他 ,6, 2003年 , 板楼,9, 5个月以前发布,5300000.0,"92,287元/平",近地铁 VR看装修 房本满五年 随时看房 
夏霖园满五年唯一商品房，中间楼层，全明格局,夏霖园,西北旺,3室1厅 ,96.13, 东 南 北 , 精装 ,6, 2003年 , 板楼,27, 7个月以前发布,7390000.0,"76,876元/平",近地铁 VR看装修 房本满五年 随时看房 
西山公馆满五唯一无抵押无户口，精装修，居住舒适安静,西山公馆,西北旺,2室1厅 ,118.72, 东 西 , 简装 ,7, 2011年 , 板楼,13, 5个月以前发布,10200000.0,"85,917元/平",VR房源 房本满五年 随时看房 
西北旺-中关村软件园旁，秋露园，商品房，在小区中间,秋露园,西北旺,1室1厅 ,57.08, 南 北 , 简装 ,6, 2004年 , 板楼,6, 4个月以前发布,5490000.0,"96,181元/平",近地铁 VR房源 房本满五年 
次顶层  南北通透  全明两居室,中海枫涟山庄,西北旺,2室1厅 ,87.7, 南 北 , 简装 ,9, 2004年 , 板楼,68, 一年前发布,10290000.0,"117,332元/平",近地铁 VR房源 房本满五年 随时看房 
东馨园小区 户型方正两居室 满五年,东馨园,西北旺,2室1厅 ,54.3, 南 北 , 简装 ,6, 1992年 , 板楼,14,3,4000000.0,"73,665元/平",VR看装修 房本满五年 随时看房 
百草园 2室1厅 南,百草园,西北旺,2室1厅 ,59.9, 南 , 毛坯 ,6, 1995年 , 板楼,14, 4个月以前发布,4900000.0,"81,804元/平",近地铁 VR房源 房本满五年 随时看房 
东馨园 三居室 满五年唯一可贷款 中间楼层 看房随时,东馨园,西北旺,3室1厅 ,84.0, 南 北 , 毛坯 ,6, 1994年 , 板楼,55, 8个月以前发布,6320000.0,"75,239元/平",VR房源 房本满五年 随时看房 
西北旺中间楼层3居室 满五年唯一商品房 产权清晰,夏霖园,西北旺,3室1厅 ,96.16, 南 北 , 精装 ,6, 2003年 , 板楼,45, 11个月以前发布,7600000.0,"79,035元/平",近地铁 VR看装修 房本满五年 随时看房 
西北旺，冬晴园，满五唯一商品房可贷款,冬晴园,西北旺,1室1厅 ,57.97, 南 , 简装 ,5, 2009年 , 板楼,9, 5个月以前发布,5000000.0,"86,252元/平",近地铁 VR看装修 房本满五年 随时看房 
新出如园大四居，中间楼层，三面采光，带车位,如园南区,西北旺,4室2厅 ,297.99, 南 北 , 精装 ,10, 2014年 , 板楼,6, 8个月以前发布,33500000.0,"112,420元/平",近地铁 VR房源 房本满五年 
小区一层 前后楼间距大 采光好 中间位置 安静不临街,中海枫涟山庄,西北旺,3室2厅 ,121.94, 南 北 , 简装 ,8, 2004年 , 板楼,16, 3个月以前发布,12190000.0,"99,968元/平",近地铁 VR房源 房本满五年 
满五年商品房 南北通透格局 楼层好 诚心卖 全明格局,中海枫涟山庄,西北旺,3室2厅 ,121.44, 南 北 , 简装 ,11, 2004年 , 板楼,68, 6个月以前发布,11500000.0,"94,697元/平",近地铁 VR房源 房本满五年 
西北旺，春晖园，中关村软件园旁，小区中间位置中间层,春晖园,西北旺,2室1厅 ,76.61, 南 北 , 简装 ,6, 2004年 , 板楼,20, 3个月以前发布,6600000.0,"86,151元/平",近地铁 VR房源 房本满五年 
西山公馆次顶层一居室诚意出售看房方便,西山公馆,西北旺,1室1厅 ,68.93, 西 , 毛坯 ,6, 2011年 , 板楼,9, 8个月以前发布,5700000.0,"82,693元/平",VR看装修 房本满五年 随时看房 
冬晴园满五年唯一商品房适合贷款 精装修南北通透,冬晴园,西北旺,1室1厅 ,60.19, 南 北 , 精装 ,6, 2009年 , 板楼,5, 5个月以前发布,6000000.0,"99,685元/平",近地铁 VR看装修 房本满五年 随时看房 
夏霖园南向一居室满五唯一商品房,夏霖园,西北旺,1室1厅 ,55.24, 南 , 精装 ,6, 2003年 , 板楼,4, 5个月以前发布,5250000.0,"95,040元/平",近地铁 VR看装修 房本满五年 
西山公馆，精装一居室，满五年唯一，电梯房。,西山公馆,西北旺,2室1厅 ,68.97, 西 , 精装 ,6, 2011年 , 板楼,14, 6个月以前发布,6500000.0,"94,244元/平",VR看装修 房本满五年 
百草园 3室1厅 东 南 北,百草园,西北旺,3室1厅 ,86.0, 东 南 北 , 简装 ,6, 1995年 , 板楼,2, 5个月以前发布,6500000.0,"75,582元/平",近地铁 VR看装修 房本满两年 
如园北区 中高楼层 不临街 自住 精装修,如园北区,西北旺,3室2厅 ,227.07, 南 北 , 精装 ,10, 2015年 , 板楼,3, 1个月以前发布,33590000.0,"147,928元/平",近地铁 VR看装修 房本满五年 
如园南区 新上高楼层4居室 次顶层,如园南区,西北旺,4室2厅 ,275.0, 南 北 , 精装 ,10, 2013年 , 板楼,2,3,31500000.0,"114,546元/平",近地铁 VR看装修 房本满五年 
如园南区新上眼镜户型四居室，5层采光好,如园南区,西北旺,4室2厅 ,275.0, 南 北 , 精装 ,11, 2013年 , 板楼,3,1,31180000.0,"113,382元/平",VR房源 随时看房 
西山公馆南向大一居，满五年一套住房，高楼层视野好,西山公馆,西北旺,1室1厅 ,72.91, 南 , 精装 ,6, 2011年 , 板楼,1, 1个月以前发布,6500000.0,"89,152元/平",VR看装修 房本满两年 
