东馨园 中间位置中间楼层 满五年唯一商品房 精装修,东馨园,西北旺,3室1厅 ,76.0, 东 南 北 , 精装 ,6, 1992年 , 板楼,17, 2个月以前发布,6090000.0,"80,132元/平",VR看装修 房本满五年 
中间位置观景四居 带南北生活阳台 满五年 欢迎品鉴,如园南区,西北旺,4室2厅 ,282.04, 南 北 , 精装 ,10, 2013年 , 板楼,9, 3个月以前发布,32900000.0,"116,651元/平",近地铁 VR看装修 房本满五年 
视野开阔、商品房、中间位置、客厅朝南、一梯两户,夏霖园,西北旺,2室1厅 ,75.92, 南 北 , 其他 ,6, 2003年 , 板楼,0, 2个月以前发布,6500000.0,"85,617元/平",近地铁 VR房源 
商品房、视野开阔、中间位置、产权清晰、价格可谈,夏霖园,西北旺,2室1厅 ,76.19, 南 北 , 简装 ,5, 2003年 , 板楼,5, 2个月以前发布,6300000.0,"82,689元/平",近地铁 VR看装修 房本满五年 
春晖园 3室1厅 南 北,春晖园,西北旺,3室1厅 ,92.0, 南 北 , 其他 ,6, 2004年 , 板楼,10, 2个月以前发布,7900000.0,"85,870元/平",近地铁 VR看装修 房本满五年 
夏霖园 2室1厅 南 北,夏霖园,西北旺,2室1厅 ,76.19, 南 北 , 简装 ,5, 2003年 , 板楼,0,4,6280000.0,"82,426元/平",近地铁 VR看装修 
中间位置、商品房、视野开阔、产权清晰、价格可谈,夏霖园,西北旺,1室1厅 ,55.73, 南 , 简装 ,6, 2003年 , 板楼,2,15,4750000.0,"85,233元/平",近地铁 VR看装修 随时看房 
采光充足、视野开阔、中间楼层、精装修、产权清晰,西山公馆,西北旺,2室1厅 ,115.32, 南 北 , 精装 ,7, 2011年 , 板楼,2,6,10380000.0,"90,011元/平",VR看装修 
中海枫涟山庄 全明格局 满五年唯一 大三居 直观西山,中海枫涟山庄,西北旺,3室2厅 ,123.95, 南 北 , 其他 ,11, 2004年 , 板楼,2,17,12360000.0,"99,718元/平",近地铁 VR房源 房本满五年 随时看房 
西山公馆 3室2厅 南 北,西山公馆,西北旺,3室2厅 ,150.73, 南 北 , 精装 ,7, 2011年 , 板楼,2,17,14800000.0,"98,189元/平",VR看装修 
东馨园 满五年商品房 适合贷款 地铁13号线 看房随时,东馨园,西北旺,2室1厅 ,62.2, 南 北 , 精装 ,6, 1998年 , 板楼,0, 2个月以前发布,5200000.0,"83,602元/平",VR看装修 房本满五年 
中海枫涟山庄 2室1厅 南 北,中海枫涟山庄,西北旺,2室1厅 ,87.7, 南 北 , 简装 ,9, 2004年 , 板楼,0,4,9900000.0,"112,885元/平",近地铁 VR看装修 房本满五年 
冬晴园小区中间位置，中间楼层，不临街不把边。,冬晴园,西北旺,1室1厅 ,57.91, 南 , 其他 ,6, 2009年 , 板楼,0,18,5400000.0,"93,249元/平",近地铁 VR看装修 房本满五年 
百草园 2室1厅 南 北,百草园,西北旺,2室1厅 ,67.6, 南 北 , 精装 ,6, 2000年 , 板楼,2,3,5900000.0,"87,279元/平",近地铁 VR看装修 房本满两年 
三面公园环绕，双卧朝南观山三居，带车位，直接住,西山壹号院南区,西北旺,3室2厅 ,181.34, 南 北 , 精装 ,6, 2011年 , 板楼,15, 2个月以前发布,25500000.0,"140,620元/平",近地铁 VR看装修 随时看房 
精装修、中间位置、业主诚心出售，看房方便,中海枫涟山庄,西北旺,3室2厅 ,122.07, 南 北 , 精装 ,8, 2004年 , 板楼,2,15,12480000.0,"102,237元/平",近地铁 VR看装修 房本满五年 
中海枫涟山庄全明三居室，南北通透，采光好,中海枫涟山庄,西北旺,3室2厅 ,122.07, 南 北 , 精装 ,8, 2004年 , 板楼,13, 2个月以前发布,12780000.0,"104,695元/平",近地铁 VR看装修 房本满五年 
东馨园小区 东南北朝向采光好 精装修三居室,东馨园,西北旺,3室1厅 ,85.12, 东 南 北 , 精装 ,6, 1998年 , 板楼,6, 2个月以前发布,6500000.0,"76,363元/平",VR看装修 房本满两年 随时看房 
枫涟山庄  中楼层   视野好  看房方便,中海枫涟山庄,西北旺,3室1厅 ,121.96, 南 北 , 简装 ,9, 2004年 , 板楼,16, 1个月以前发布,11350000.0,"93,064元/平",近地铁 VR房源 房本满五年 
西山壹号院北区 4室2厅 南 北,西山壹号院北区,西北旺,4室2厅 ,396.29, 南 北 , 精装 ,6, 2014年 , 板楼,0,15,54990000.0,"138,763元/平",VR房源 房本满五年 
中关村软件园 东旭园 超好户型三居室 有钥匙看房方便,东旭园,西北旺,3室1厅 ,101.2, 南 北 , 简装 ,6, 1998年 , 板楼,4,15,6980000.0,"68,973元/平",VR房源 房本满两年 随时看房 
如园南区 双卧朝南4居室 保持的好 看房方便,如园南区,西北旺,4室2厅 ,288.62, 南 北 , 精装 ,10, 2014年 , 板楼,3, 2个月以前发布,33800000.0,"117,110元/平",近地铁 VR房源 房本满两年 
万科如园北区 新出 高楼层 4居室,如园北区,西北旺,4室2厅 ,253.14, 南 北 , 精装 ,9, 2017年 , 板楼,4,10,35000000.0,"138,264元/平",近地铁 VR房源 房本满五年 随时看房 
万科如园北区 直观百望山 高楼层3居室,如园北区,西北旺,3室2厅 ,223.1, 南 北 , 精装 ,10, 2017年 , 板楼,5,11,29900000.0,"134,021元/平",近地铁 VR房源 
润千秋佳苑 6室2厅 南 北,润千秋佳苑,西北旺,6室2厅 ,218.77, 南 北 , 其他 ,6, 2005年 , 板楼,10, 1个月以前发布,17500000.0,"79,993元/平",近地铁 VR房源 房本满五年 
满五年商品房 户型好 电梯洋房 社区人车分流 看房方便,西山公馆,西北旺,1室1厅 ,68.56, 西 , 精装 ,6, 2011年 , 板楼,2, 3个月以前发布,6500000.0,"94,808元/平",VR看装修 房本满五年 
百旺茉莉园 两室两厅两卫 精装修 满五唯一 保养如新,百旺茉莉园,西北旺,2室1厅 ,113.2, 南 北 , 精装 ,11, 2005年 , 板楼,6, 2个月以前发布,11200000.0,"98,940元/平",近地铁 VR看装修 房本满五年 
西山公馆一居室满五唯一商品房采光好,西山公馆,西北旺,1室1厅 ,68.93, 西 , 精装 ,6, 2011年 , 板楼,4, 2个月以前发布,6150000.0,"89,221元/平",VR房源 房本满五年 
西山壹号院南区 3室2厅 南 北,西山壹号院南区,西北旺,3室2厅 ,181.84, 南 北 , 其他 ,6, 2011年 , 板楼,1,13,26000000.0,"142,983元/平",近地铁 VR房源 房本满五年 
中关村软件园内，马连洼东馨园，中间层，业主诚售,东馨园,西北旺,2室1厅 ,52.4, 南 北 , 简装 ,6, 1992年 , 板楼,2, 2个月以前发布,4500000.0,"85,878元/平",VR看装修 
西北旺 电梯房大三居，满五年唯一，近地铁，急售,百旺茉莉园,西北旺,3室2厅 ,143.31, 东 南 北 , 精装 ,9, 2005年 , 板楼,20, 3个月以前发布,13960000.0,"97,412元/平",近地铁 VR看装修 房本满五年 
如园北区一层下跃，眼镜户型，位置好，精装修,如园北区,西北旺,6室2厅 ,377.99, 南 北 , 精装 ,11, 2015年 , 板楼,2,9,40000000.0,"105,823元/平",近地铁 VR房源 房本满五年 
满五唯一，户型南北通透，落地窗，采光充足，精装修,百旺茉莉园,西北旺,3室2厅 ,149.25, 南 北 , 简装 ,9, 2005年 , 板塔结合,6, 1个月以前发布,14860000.0,"99,565元/平",近地铁 VR看装修 房本满五年 
东馨园小区中间位置低楼层 精装修两居室,东馨园,西北旺,2室1厅 ,61.2, 南 北 , 精装 ,6, 1994年 , 板楼,2,11,4800000.0,"78,432元/平",VR看装修 房本满五年 
南北通透两居室 小区出行方便， 采光好。,夏霖园,西北旺,2室1厅 ,77.1, 南 北 , 简装 ,6, 2003年 , 板楼,9, 1个月以前发布,5790000.0,"75,098元/平",近地铁 VR房源 房本满两年 
中海枫涟山庄全明三居室，次顶层视野开阔，直观百望山,中海枫涟山庄,西北旺,3室2厅 ,122.0, 南 北 , 其他 ,11, 2004年 , 板楼,38, 4个月以前发布,11900000.0,"97,541元/平",近地铁 VR看装修 房本满五年 
夏霖园南北通透三居室满五年唯一住房,夏霖园,西北旺,3室1厅 ,112.09, 南 北 , 精装 ,9, 2003年 , 板楼,31, 8个月以前发布,8900000.0,"79,401元/平",近地铁 VR看装修 房本满五年 
西山公馆 中间位置小三居 户型方正 随时签约,西山公馆,西北旺,3室1厅 ,119.11, 东 西 , 精装 ,7, 2012年 , 板楼,96, 一年前发布,10200000.0,"85,636元/平",VR看装修 房本满五年 
苗圃宿舍两居室 低楼层 采光好  业主诚意出售,苗圃宿舍,西北旺,2室1厅 ,53.6, 东南 , 简装 ,6, 1987年 , 板楼,12, 4个月以前发布,3730000.0,"69,590元/平",VR看装修 房本满两年 随时看房 
西北旺 夏霖园 满五年唯一可贷款  4.6米挑高 靠谱签约,夏霖园,西北旺,2室1厅 ,76.11, 南 北 , 简装 ,6, 2003年 , 板楼,31, 一年前发布,5800000.0,"76,206元/平",近地铁 VR房源 房本满五年 
枫涟山庄 满二年 中高楼层   诚心出售,中海枫涟山庄,西北旺,3室1厅 ,121.44, 南 北 , 其他 ,11, 2004年 , 板楼,20, 4个月以前发布,12500000.0,"102,932元/平",近地铁 VR看装修 房本满两年 
百旺茉莉园 满五年 7层视野开阔，采光好,百旺茉莉园,西北旺,2室1厅 ,87.21, 东南 , 其他 ,9, 2007年 , 塔楼,25, 7个月以前发布,9070000.0,"104,002元/平",近地铁 VR房源 房本满五年 
马连洼东馨园 低楼层 精装修 全明格局 三居室,东馨园,西北旺,3室1厅 ,80.7, 南 北 , 精装 ,6, 1994年 , 板楼,56, 4个月以前发布,6190000.0,"76,704元/平",VR看装修 房本满两年 
商品房、视野开阔、采光充足、产权清晰、价格可谈,夏霖园,西北旺,2室1厅 ,76.95, 南 北 , 简装 ,6, 2003年 , 板楼,18, 8个月以前发布,6500000.0,"84,471元/平",近地铁 VR看装修 房本满五年 
价格可谈、诚意出售、视野开阔、中间楼层,东馨园,西北旺,2室1厅 ,66.49, 南 北 , 简装 ,6, 1998年 , 板楼,28, 10个月以前发布,4950000.0,"74,448元/平",VR看装修 房本满两年 
全屋定制、中间楼层、居住安静、视野开阔、诚意出售,春晖园,西北旺,1室1厅 ,56.37, 南 , 精装 ,6, 2004年 , 板楼,12, 9个月以前发布,5180000.0,"91,893元/平",近地铁 VR房源 房本满五年 
西山公馆两居室南北通透中间楼层无视野遮挡2012年小区,西山公馆,西北旺,2室2厅 ,115.13, 南 北 , 精装 ,7, 2011年 , 板楼,29, 7个月以前发布,11000000.0,"95,545元/平",VR看装修 房本满五年 
中间位置、客厅朝南、一梯两户、产权清晰、价格可谈,夏霖园,西北旺,2室1厅 ,76.9, 南 北 , 简装 ,6, 2004年 , 板楼,22, 4个月以前发布,6660000.0,"86,606元/平",近地铁 VR看装修 房本满两年 
满五年，次顶层，带电梯，南北朝向,夏霖园,西北旺,3室1厅 ,112.16, 南 北 , 简装 ,9, 2003年 , 板楼,74, 一年前发布,9300000.0,"82,918元/平",近地铁 VR看装修 房本满五年 
如园北区经典下跃，实用性强，小区中间位置,如园北区,西北旺,3室4厅 ,287.6, 南 北 , 精装 ,10, 2015年 , 板楼,7, 6个月以前发布,30660000.0,"106,607元/平",近地铁 VR房源 房本满两年 
观山景平层大宅 一梯一户 主仆分离 带车位+储物间,西山壹号院北区,西北旺,5室2厅 ,398.61, 东 南 北 , 精装 ,6, 2012年 , 板楼,17, 3个月以前发布,48800000.0,"122,426元/平",VR看装修 
西北旺壹号院 19年精装修 大户型下跃 自住看房方便,西山壹号院北区,西北旺,6室3厅 ,635.25, 南 北 , 精装 ,6, 2012年 , 板楼,23, 8个月以前发布,45000000.0,"70,839元/平",VR房源 
西山公馆中间层南排三居，采光好视野好，靠谱出售,西山公馆,西北旺,3室2厅 ,150.98, 南 北 , 精装 ,6, 2011年 , 板楼,10, 5个月以前发布,16300000.0,"107,962元/平",VR看装修 
马连洼东馨园 一层 南北向两居 满五年,东馨园,西北旺,2室1厅 ,68.27, 南 北 , 简装 ,6, 2000年 , 板楼,12, 一年前发布,4900000.0,"71,774元/平",VR房源 房本满五年 
东北旺 马连洼 东馨园 小两居 可贷款 看房方便,东馨园,西北旺,2室1厅 ,56.7, 南 北 , 精装 ,6, 1992年 , 板楼,5, 2个月以前发布,4260000.0,"75,133元/平",VR看装修 房本满五年 
中海枫涟山庄全明四居室，南北通透，诚意出售,中海枫涟山庄,西北旺,5室2厅 ,184.77, 南 北 , 精装 ,8, 2004年 , 板楼,8, 1个月以前发布,17000000.0,"92,007元/平",近地铁 VR房源 房本满五年 
东北旺东馨园南北通透一居室满五唯一商品房,东馨园,西北旺,1室1厅 ,47.3, 南 北 , 简装 ,6, 1980年 , 板楼,4, 3个月以前发布,3800000.0,"80,339元/平",VR看装修 
万科如园  精装四居 观山 景观好 全新房 带车位,如园北区,西北旺,4室3厅 ,261.52, 南 北 , 精装 ,11, 2016年 , 板楼,5,16,35300000.0,"134,981元/平",近地铁 VR房源 随时看房 
东北旺东馨园满五唯一商品房房间均有窗户自住总成本低,东馨园,西北旺,2室1厅 ,52.8, 南 , 其他 ,6, 1992年 , 板楼,1,14,4500000.0,"85,228元/平",VR看装修 房本满五年 
西山壹号院北区 5室2厅 南 北,西山壹号院北区,西北旺,5室2厅 ,398.61, 南 北 , 精装 ,6, 2012年 , 板楼,5, 1个月以前发布,47000000.0,"117,910元/平",VR房源 房本满两年 
新增 壹号院三居 金元宝户型 中间层  精装修 双车位,西山壹号院北区,西北旺,3室2厅 ,278.95, 南 北 , 精装 ,6, 2013年 , 板楼,6, 1个月以前发布,35000000.0,"125,471元/平",VR房源 房本满五年 
东馨园小区中间楼层三居室 双卧室朝南向 采光视野不错,东馨园,西北旺,3室1厅 ,85.12, 南 北 , 简装 ,6, 1998年 , 板楼,9, 1个月以前发布,6000000.0,"70,489元/平",VR看装修 房本满五年 随时看房 
东馨园不临街南北通透，全明户型两居室,东馨园,西北旺,2室1厅 ,56.7, 南 北 , 简装 ,6, 1992年 , 板楼,1,14,4580000.0,"80,777元/平",VR房源 房本满五年 
春晖园满五年商品房 中间楼层 南向一居室,春晖园,西北旺,1室1厅 ,56.43, 南 , 简装 ,6, 2004年 , 板楼,0, 1个月以前发布,5500000.0,"97,466元/平",近地铁 VR看装修 房本满五年 随时看房 
万科如园新上优质大平层，看房方便，价格可谈。,如园北区,西北旺,3室2厅 ,224.2, 南 北 , 精装 ,10, 2018年 , 板楼,10, 2个月以前发布,27800000.0,"123,997元/平",近地铁 VR看装修 房本满五年 随时看房 
东馨园小区 西南北朝向高楼层两居室 采光 视野好,东馨园,西北旺,2室1厅 ,66.49, 南 西 北 , 简装 ,6, 2000年 , 板楼,1, 1个月以前发布,4600000.0,"69,184元/平",VR看装修 房本满两年 
秋露园一居室推荐，目前自如出租中,秋露园,西北旺,1室1厅 ,55.69, 南 , 其他 ,6, 2004年 , 板楼,3,18,4800000.0,"86,192元/平",近地铁 VR房源 房本满五年 
90平地上庭院+50平地下庭院 保养九成新 满五年,西山壹号院南区,西北旺,4室3厅 ,330.83, 南 北 , 精装 ,4, 2011年 , 板楼,3,14,37500000.0,"113,352元/平",VR房源 房本满五年 
北区水系，东西南北没有遮挡一梯一户独立私家电梯厅,如园北区,西北旺,5室2厅 ,306.99, 东 南 北 , 精装 ,10, 2016年 , 板楼,7, 2个月以前发布,45900000.0,"149,517元/平",近地铁 VR看装修 随时看房 
东馨园 2室1厅 南 北,东馨园,西北旺,2室1厅 ,56.7, 南 北 , 精装 ,6, 1992年 , 板楼,0,15,4950000.0,"87,302元/平",VR看装修 房本满五年 
如园北区 精装三居 中间楼层 满五年,如园北区,西北旺,3室3厅 ,226.2, 南 北 , 精装 ,10, 2013年 , 板楼,4, 3个月以前发布,29000000.0,"128,206元/平",近地铁 VR看装修 房本满五年 
东馨园 3室1厅 南 北,东馨园,西北旺,3室1厅 ,80.7, 南 北 , 其他 ,6, 1994年 , 板楼,0,3,6500000.0,"80,546元/平",VR房源 房本满五年 
新增 壹号院南区 户型方正 位置安静 精装四居,西山壹号院南区,西北旺,4室2厅 ,378.69, 南 北 , 精装 ,6, 2011年 , 板楼,5, 1个月以前发布,39500000.0,"104,307元/平",VR房源 
地铁电梯房 满五唯一 南北通透两居室,百旺茉莉园,西北旺,2室2厅 ,113.76, 南 北 , 其他 ,9, 2008年 , 板楼,44, 一年前发布,11000000.0,"96,695元/平",近地铁 VR看装修 房本满五年 
东旭园小区 满五年两居室  南北向 全明格局,东旭园,西北旺,2室1厅 ,83.05, 南 北 , 简装 ,6, 1998年 , 板楼,9, 一年前发布,6700000.0,"80,675元/平",VR看装修 房本满五年 
满五年商品房，南北通透格局 楼层好 诚心卖 全明格局,中海枫涟山庄,西北旺,3室2厅 ,121.96, 南 北 , 其他 ,11, 2004年 , 板楼,71, 一年前发布,12800000.0,"104,953元/平",近地铁 VR看装修 房本满五年 
洋房三居，南北通透，中间位置，费用少，拎包入住,百旺茉莉园,西北旺,3室2厅 ,122.04, 南 北 , 精装 ,5, 2005年 , 板楼,45, 5个月以前发布,12850000.0,"105,294元/平",近地铁 VR看装修 房本满五年 
满五 中间楼层 采光好 视野好,东馨园,西北旺,2室1厅 ,60.2, 南 北 , 简装 ,6, 1994年 , 板楼,19, 一年前发布,5200000.0,"86,379元/平",VR看装修 房本满五年 
东馨园 2室1厅 南 北,东馨园,西北旺,2室1厅 ,68.11, 南 北 , 精装 ,6, 1998年 , 板楼,3, 5个月以前发布,5500000.0,"80,752元/平",VR看装修 房本满五年 
马连洼东馨园 2层大面积两居 满五年唯一 产权清晰,东馨园,西北旺,2室1厅 ,68.27, 南 北 , 简装 ,6, 2000年 , 板楼,25, 11个月以前发布,5100000.0,"74,704元/平",VR看装修 房本满五年 
百旺茉莉园 2室2厅 南 北,百旺茉莉园,西北旺,2室2厅 ,117.24, 南 北 , 精装 ,11, 2005年 , 板楼,5, 5个月以前发布,11200000.0,"95,531元/平",近地铁 VR看装修 房本满两年 
"满五年，楼层低 ，上下方便,采光充足",苗圃宿舍,西北旺,2室1厅 ,53.6, 南 北 , 精装 ,6, 1987年 , 板楼,241, 一年前发布,4370000.0,"81,530元/平",VR看装修 房本满五年 
百草园小区经典小三居，南向采光好,百草园,西北旺,3室1厅 ,74.8, 南 , 精装 ,6, 1995年 , 板楼,7, 4个月以前发布,6220000.0,"83,156元/平",近地铁 VR房源 房本满五年 
房子不挨着街 楼层高 视野好 诚心出售,夏霖园,西北旺,2室1厅 ,76.64, 南 北 , 简装 ,6, 2003年 , 板楼,27, 一年前发布,6900000.0,"90,032元/平",近地铁 VR房源 房本满五年 
百草园    药用植物园   中间楼层  采光好,百草园,西北旺,2室1厅 ,66.4, 南 北 , 精装 ,6, 1996年 , 板楼,37, 10个月以前发布,5500000.0,"82,832元/平",近地铁 VR看装修 房本满五年 
夏霖园 2室1厅 南 北,夏霖园,西北旺,2室1厅 ,76.95, 南 北 , 简装 ,6, 2003年 , 板楼,9, 5个月以前发布,6900000.0,"89,669元/平",近地铁 VR看装修 房本满五年 
小区中间位置 中间楼层 采光视野好 满五唯一 全明,中海枫涟山庄,西北旺,3室1厅 ,122.52, 南 北 , 精装 ,8, 2004年 , 板楼,50, 4个月以前发布,12000000.0,"97,944元/平",近地铁 VR看装修 房本满五年 
东馨园小区 中间位置不临街不把边 满五年唯一,东馨园,西北旺,2室1厅 ,56.7, 南 北 , 简装 ,6, 1992年 , 板楼,3, 5个月以前发布,4700000.0,"82,893元/平",VR看装修 房本满五年 
秋露园顶层两居室，满五年了，视野好，采光好。,秋露园,西北旺,2室1厅 ,76.76, 南 北 , 精装 ,6, 2004年 , 板楼,138, 一年前发布,6750000.0,"87,937元/平",近地铁 VR看装修 房本满五年 
东旭园小区 二层 两卧室朝东 客厅朝西,东旭园,西北旺,2室1厅 ,80.5, 东 西 北 , 精装 ,5, 1999年 , 板楼,7, 11个月以前发布,6270000.0,"77,889元/平",VR看装修 房本满五年 
秋露园中层一居，无抵押无户口，看房方便，不临街,秋露园,西北旺,1室1厅 ,55.2, 南 , 简装 ,6, 2004年 , 板楼,20, 11个月以前发布,5390000.0,"97,645元/平",近地铁 VR房源 房本满两年 
东馨园南北一居满五年一套住房中间，总成本低,东馨园,西北旺,1室1厅 ,47.3, 南 北 , 简装 ,6, 1994年 , 板楼,15, 9个月以前发布,4200000.0,"88,795元/平",VR看装修 房本满五年 
东馨园中间楼层三居满五年房改房，南北通透,东馨园,西北旺,3室1厅 ,82.4, 南 北 , 简装 ,6, 1994年 , 板楼,14, 4个月以前发布,6400000.0,"77,670元/平",VR看装修 房本满五年 
